村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
澎湖縣白沙鄉小赤村,-58,25,83,86,163,52.76,呂正宗,無
澎湖縣白沙鄉岐頭村,-77,5,82,98,219,44.75,陳志勇,無
澎湖縣白沙鄉後寮村,-286,39,325,350,775,45.16,葉文泉,無
澎湖縣白沙鄉港子村,-97,26,123,152,286,53.15,郭文雅,無
澎湖縣白沙鄉瓦硐村,-113,16,129,146,348,41.95,李江海,無
澎湖縣白沙鄉講美村,-141,56,197,359,672,53.42,楊英三,無
澎湖縣白沙鄉赤崁村,-345,60,405,541,1031,52.47,黃禮聰,無
澎湖縣白沙鄉通梁村,-148,56,204,541,1031,52.47,張健完,無
澎湖縣白沙鄉鎮海村,-51,23,74,75,157,47.77,陳文淵,無
澎湖縣白沙鄉鳥嶼村,-387,57,444,541,1031,52.47,魏錫銘,無
澎湖縣西嶼鄉二崁村,-42,12,54,77,148,52.03,陳昭回,無
澎湖縣西嶼鄉內垵村,-354,82,436,369,696,53.02,莊嬌乃,無
澎湖縣西嶼鄉合界村,-112,40,152,201,399,50.38,楊志業,無
澎湖縣西嶼鄉外垵村,-97,201,298,369,696,53.02,許玉雪,中國國民黨
澎湖縣西嶼鄉大池村,-250,52,302,364,675,53.93,顏光前,無
澎湖縣西嶼鄉小門村,-76,24,100,145,278,52.16,章娥,無
澎湖縣西嶼鄉橫礁村,-70,31,101,140,298,46.98,莊順青,無
澎湖縣西嶼鄉池東村,-134,9,143,369,696,53.02,陳家豐,無
澎湖縣西嶼鄉池西村,-55,26,81,369,696,53.02,洪英俊,無
澎湖縣西嶼鄉竹灣村,-280,61,341,393,815,48.22,許進清,無
澎湖縣西嶼鄉赤馬村,-227,31,258,270,606,44.55,蔡榮利,無
澎湖縣馬公市中央里,-188,55,243,307,522,58.81,項文男,無
澎湖縣馬公市中興里,-293,90,383,428,758,56.46,黃永安,中國國民黨
