村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
臺東縣卑南鄉初鹿村,-111,110,221,431,704,61.22,陳良誌,中國國民黨
臺東縣卑南鄉利吉村,-139,39,178,274,437,62.70,"劉清明 Isamu",無
臺東縣卑南鄉利嘉村,-550,122,672,694,1062,65.35,林肯毅,中國國民黨
臺東縣卑南鄉嘉豐村,-55,38,93,118,250,47.20,林智郎,無
臺東縣卑南鄉太平村,-19,366,385,685,1131,60.57,吳志銘,無
臺東縣卑南鄉富山村,-222,39,261,272,454,59.91,黃文明,無
臺東縣卑南鄉富源村,-151,27,178,196,310,63.23,羅再銘,無
臺東縣卑南鄉明峰村,-66,85,151,430,691,62.23,吳勝雄,無
臺東縣卑南鄉東興村,-625,93,718,739,1128,65.51,陳興榮,無
臺東縣卑南鄉泰安村,-292,82,374,669,1105,60.54,馬學忠,無
臺東縣卑南鄉溫泉村,46,97,51,587,894,65.66,廖金增,無
臺東縣卑南鄉美農村,-22,98,120,147,214,68.69,陳民富,無
臺東縣卑南鄉賓朗村,-80,226,306,640,990,64.65,曾能健,無
臺東縣大武鄉南興村,-157,44,201,343,545,62.94,王璽盛,無
臺東縣大武鄉大武村,-638,94,732,675,1194,56.53,董炎輝,無
臺東縣大武鄉大竹村,-114,58,172,233,349,66.76,張德海,中國國民黨
臺東縣大武鄉大鳥村,-363,57,420,597,1031,57.90,陳定榮,無
臺東縣大武鄉尚武村,-324,93,417,678,1282,52.89,陳宗欽,無
臺東縣太麻里鄉三和村,-274,51,325,349,549,63.57,李忠川,無
臺東縣太麻里鄉北里村,-291,50,341,334,555,60.18,楊昌哲,無
臺東縣太麻里鄉多良村,-101,59,160,146,242,60.33,莊瑞山,無
臺東縣太麻里鄉大王村,-203,123,326,595,899,66.18,黃貞英,無
臺東縣太麻里鄉泰和村,-247,135,382,408,616,66.23,賴美連,無
臺東縣太麻里鄉美和村,-213,104,317,390,611,63.83,陳進盛,無
臺東縣太麻里鄉華源村,-292,46,338,358,574,62.37,張清良,無
臺東縣太麻里鄉金崙村,-167,115,282,488,806,60.55,陳志偉,無
臺東縣太麻里鄉香蘭村,-158,45,203,230,408,56.37,蕭惠明,無
臺東縣延平鄉桃源村,-472,97,569,627,988,63.46,胡健文,無
臺東縣延平鄉武陵村,-109,54,163,374,589,63.50,胡忠明,無
臺東縣延平鄉永康村,-71,40,111,213,302,70.53,王自立,無
臺東縣延平鄉紅葉村,-146,37,183,276,405,68.15,胡金生,無
臺東縣延平鄉鸞山村,-185,51,236,345,570,60.53,鄭鏡峯,無
臺東縣成功鎮三仙里,-158,67,225,245,496,49.40,張慧珍,無
臺東縣成功鎮三民里,-321,170,491,647,1234,52.43,曾連發,無
臺東縣成功鎮信義里,-97,93,190,248,479,51.77,黃正宏,無
臺東縣成功鎮博愛里,-65,23,88,193,331,58.31,林雅各,無
臺東縣成功鎮和平里,-122,39,161,341,694,49.14,陳立智,無
臺東縣成功鎮忠仁里,-61,140,201,176,321,54.83,葉千慈,無
臺東縣成功鎮忠孝里,-44,54,98,230,444,51.80,陳文俊,無
臺東縣成功鎮忠智里,-204,168,372,546,888,61.49,陳俊良,無
臺東縣東河鄉北源村,-176,48,224,301,760,39.61,李重民,中國國民黨
臺東縣東河鄉尚德村,-109,13,122,108,230,46.96,陳其清,無
臺東縣東河鄉東河村,-309,86,395,538,953,56.45,陳海峰,無
臺東縣東河鄉泰源村,-472,57,529,526,1088,48.35,吳式琦,中國國民黨
臺東縣東河鄉興昌村,-401,50,451,516,891,57.91,林憲身,中國國民黨
臺東縣東河鄉都蘭村,-109,150,259,380,649,58.55,田國義,無
臺東縣東河鄉隆昌村,-141,33,174,294,494,59.51,周明義,無
臺東縣池上鄉大坡村,-114,15,129,161,324,49.69,陳億元,無
臺東縣池上鄉大埔村,-271,60,331,420,763,55.05,謝德田,無
臺東縣池上鄉富興村,-73,40,113,209,376,55.59,劉東良,無
臺東縣池上鄉慶豐村,-235,38,273,360,647,55.64,吳秀瑜,無
臺東縣池上鄉振興村,-100,38,138,199,432,46.06,林宗玉,無
臺東縣池上鄉新興村,-281,77,358,453,821,55.18,趙代中,無
臺東縣池上鄉福原村,-132,206,338,596,972,61.32,劉亦松,中國國民黨
臺東縣池上鄉福文村,-204,98,302,251,401,62.59,林煥恭,無
臺東縣池上鄉萬安村,-93,32,125,184,304,60.53,魏榮增,無
臺東縣池上鄉錦園村,-188,30,218,183,319,57.37,李永善,無
臺東縣海端鄉利稻村,-76,11,87,143,272,52.57,胡勝豪,無
臺東縣海端鄉加拿村,-202,21,223,276,493,55.98,王國慶,無
臺東縣海端鄉崁頂村,-106,50,156,384,604,63.58,邱志強,中國國民黨
臺東縣海端鄉廣原村,-133,58,191,385,720,53.47,余春梅,無
臺東縣海端鄉海端村,-161,69,230,511,932,54.83,王永振,無
臺東縣海端鄉霧鹿村,-90,25,115,158,263,60.08,余紹盛,無
臺東縣綠島鄉中寮村,-494,113,607,488,1085,44.98,蔡勝榮,無
臺東縣綠島鄉公舘村,-23,120,143,393,838,46.90,王勝德,無
臺東縣綠島鄉南寮村,-620,157,777,780,1691,46.13,蘇振茂,無
臺東縣臺東市中山里,-143,183,326,595,860,69.19,吳金蓮,無
臺東縣臺東市中心里,31,384,353,542,777,69.76,鍾皇亭,無
臺東縣臺東市中正里,-164,248,412,764,1083,70.54,吳佳真,無
臺東縣臺東市中華里,-299,264,563,758,1155,65.63,楊耀乾,中國國民黨
臺東縣臺東市仁和里,131,366,235,656,1002,65.47,李坤智,中國國民黨
臺東縣臺東市光明里,-20,326,346,580,829,69.96,曾淑美,中國國民黨
臺東縣臺東市卑南里,134,366,232,628,857,73.28,陳建隆,中國國民黨
臺東縣臺東市南榮里,-17,343,360,580,837,69.30,蔡金池,中國國民黨
臺東縣臺東市南王里,49,365,316,639,934,68.42,彭靖佳,無
臺東縣臺東市富岡里,-38,220,258,523,804,65.05,曾阿粉,中國國民黨
臺東縣臺東市寶桑里,-305,141,446,889,1330,66.84,方明光,無
臺東縣臺東市岩灣里,-192,286,478,747,1098,68.03,易桂美,中國國民黨
臺東縣臺東市康樂里,-351,154,505,836,1293,64.66,張清標,無
臺東縣臺東市建和里,-224,110,334,422,655,64.43,林維忠,無
臺東縣臺東市建國里,-21,194,215,516,841,61.36,王美雲,無
臺東縣臺東市建興里,-222,164,386,848,1237,68.55,謝欣倚,無
臺東縣臺東市建農里,-238,196,434,612,1083,56.51,林金寶,中國國民黨
臺東縣臺東市成功里,-89,202,291,581,864,67.25,葉誌讀,無
臺東縣臺東市文化里,-147,186,333,450,934,48.18,余岱沅,中國國民黨
臺東縣臺東市新園里,-242,168,410,541,816,66.30,陳輝宗,無
臺東縣臺東市新生里,-69,466,535,768,1087,70.65,陳嵩志,無
臺東縣臺東市新興里,-41,144,185,468,716,65.36,王惠子,無
臺東縣臺東市東海里,53,279,226,733,1021,71.79,吳信億,無
臺東縣臺東市民族里,-139,306,445,524,732,71.58,吳宗益,無
臺東縣臺東市民生里,125,332,207,547,784,69.77,鍾美英,無
臺東縣臺東市永樂里,-103,353,456,534,862,61.95,張克帆,無
臺東縣臺東市知本里,4,307,303,421,647,65.07,王正元,中國國民黨
臺東縣臺東市自強里,-114,413,527,689,985,69.95,吳秋蘭,無
臺東縣臺東市豐原里,-62,136,198,415,623,66.61,尤增雲,無
臺東縣臺東市豐安里,192,395,203,704,1029,68.42,游國祥,無
臺東縣臺東市豐年里,-87,395,482,606,1049,57.77,張瑞武,中國國民黨
臺東縣臺東市豐榮里,37,372,335,659,1009,65.31,施晧軒,民主進步黨
臺東縣臺東市豐樂里,-108,192,300,543,868,62.56,鄧弘明,無
臺東縣臺東市豐田里,-89,301,390,743,1158,64.16,黃泉智,無
臺東縣臺東市豐盛里,93,442,349,732,1051,69.65,邱涵,無
臺東縣臺東市豐谷里,-72,424,496,660,1106,59.67,賴允文,中國國民黨
臺東縣臺東市豐里里,-157,307,464,733,1069,68.57,劉明智,無
臺東縣臺東市馬蘭里,-107,287,394,709,1035,68.50,林善群,無
臺東縣蘭嶼鄉朗島村,-202,64,266,277,777,35.65,謝明智,無
臺東縣蘭嶼鄉東清村,-599,49,648,424,1301,32.59,張進發,無
臺東縣蘭嶼鄉椰油村,-350,50,400,357,959,37.23,張吉田,無
臺東縣蘭嶼鄉紅頭村,-266,89,355,484,1269,38.14,周明善,無
臺東縣達仁鄉南田村,-94,23,117,180,293,61.43,高富源,中國國民黨
臺東縣達仁鄉台坂村,-206,45,251,376,577,65.16,丁欽良,無
臺東縣達仁鄉土坂村,-323,69,392,510,835,61.08,包嘉鴻,無
臺東縣達仁鄉安朔村,-51,50,101,161,233,69.10,邵家年,無
臺東縣達仁鄉新化村,-52,21,73,230,356,64.61,陳海漢,無
臺東縣達仁鄉森永村,-106,7,113,208,329,63.22,葛長榮,無
臺東縣金峰鄉嘉蘭村,-110,110,220,422,637,66.25,莊福成,中國國民黨
臺東縣金峰鄉新興村,-359,55,414,398,536,74.25,王大龍,無
臺東縣金峰鄉正興村,-420,53,473,441,592,74.49,高成良,中國國民黨
臺東縣金峰鄉歷坵村,-123,25,148,229,333,68.77,羅忠輝,無
臺東縣金峰鄉賓茂村,-128,21,149,225,316,71.20,古勒勒‧伐基尚,無
臺東縣長濱鄉三間村,9,64,55,331,624,53.04,宋志光,無
臺東縣長濱鄉寧埔村,-202,45,247,259,492,52.64,"烏蓮發 Dipog．Lekar",無
臺東縣長濱鄉忠勇村,-124,23,147,212,490,43.27,黃貴濱,中國國民黨
臺東縣長濱鄉樟原村,-89,30,119,17,26,65.38,林明慶,無
臺東縣長濱鄉竹湖村,-120,43,163,478,841,56.84,高健民,無
臺東縣長濱鄉長濱村,-233,107,340,586,1157,50.65,莊宜燕,無
臺東縣關山鎮中福里,-282,88,370,508,712,71.35,黃昭仁,中國國民黨
臺東縣關山鎮德高里,-203,147,350,511,880,58.07,周敏勝,無
臺東縣關山鎮新福里,-329,85,414,524,837,62.60,黃德炘,無
臺東縣關山鎮月眉里,-394,52,446,361,645,55.97,黎光祥,無
臺東縣關山鎮豐泉里,-493,112,605,686,1063,64.53,湯榮洸,無
臺東縣關山鎮里壠里,-158,132,290,546,812,67.24,吳慶郎,中國國民黨
臺東縣關山鎮電光里,-174,43,217,276,502,54.98,曹玉璞,無
臺東縣鹿野鄉永安村,26,98,72,623,1060,58.77,廖正忠,無
臺東縣鹿野鄉瑞和村,-111,55,166,332,619,53.63,李晉毅,無
臺東縣鹿野鄉瑞源村,-418,69,487,488,799,61.08,劉進金,無
臺東縣鹿野鄉瑞豐村,-161,68,229,247,411,60.10,林美惠,無
臺東縣鹿野鄉瑞隆村,-177,63,240,441,824,53.52,彭國雄,無
臺東縣鹿野鄉鹿野村,-29,96,125,308,485,63.51,陳家豪,無
臺東縣鹿野鄉龍田村,-367,90,457,626,993,63.04,蔡登源,無
