村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
臺中市中區中華里,-563,293,856,1284,1897,0.7,廖榮中,無
臺中市中區光復里,-478,271,749,1289,1842,0.7,張富星,中國國民黨
臺中市中區公園里,-366,172,538,921,1347,0.7,陳裕明,無
臺中市中區大墩里,-589,274,863,1306,1882,0.7,張文華,中國國民黨
臺中市中區大誠里,-826,311,1137,1566,2233,0.7,林志隆,中國國民黨
臺中市中區柳川里,-557,234,791,1152,1856,0.6,蔡翠碧,中國國民黨
臺中市中區綠川里,-355,204,559,1018,1439,0.7,楊文宏,無
臺中市中區繼光里,-298,155,453,979,1408,0.7,吳禎耀,中國國民黨
臺中市北區中正里,-453,167,620,850,1180,0.7,張陳美雲,無
臺中市北區中達里,-488,379,867,1836,2510,0.7,賴文進,無
臺中市北區五常里,-418,230,648,879,1255,0.7,林玉惠,無
臺中市北區健行里,-1834,1097,2931,4769,6377,0.7,何文宏,中國國民黨
臺中市北區光大里,-265,301,566,1398,1989,0.7,朱瑞珠,無
臺中市北區六合里,-540,267,807,1163,1687,0.7,陳豐誠,民主進步黨
臺中市北區大湖里,-504,306,810,1399,2054,0.7,紀國華,無
臺中市北區崇德里,-896,583,1479,2390,3336,0.7,呂成地,無
臺中市北區建德里,-627,467,1094,2334,3112,0.8,鄭凱鶴,無
臺中市北區建成里,-809,1002,1811,3971,5492,0.7,林寬仁,無
臺中市北區建興里,-1607,836,2443,3861,5260,0.7,王平河,無
臺中市北區文莊里,-1128,445,1573,2322,3150,0.7,劉継勇,中國國民黨
臺中市北區新北里,-419,243,662,1127,1588,0.7,陳信志,中國國民黨
臺中市北區新興里,-564,177,741,980,1384,0.7,曹中萍,中國國民黨
臺中市北區明德里,-1546,903,2449,3821,5094,0.8,林麗芬,無
臺中市北區明新里,-796,426,1222,1916,2597,0.7,洪平東,無
臺中市北區梅川里,-841,567,1408,2338,3152,0.7,賴家增,中國國民黨
臺中市北區樂英里,-730,301,1031,1726,2425,0.7,劉玉琦,中國國民黨
臺中市北區淡溝里,-377,848,1225,3655,4938,0.7,何文正,中國國民黨
臺中市北區立人里,-485,640,1125,2589,3681,0.7,黃韻化,無
臺中市北區育德里,-752,543,1295,2558,3508,0.7,黃志銘,無
臺中市北區賴厝里,-660,716,1376,2959,4934,0.6,賴有德,中國國民黨
臺中市北區賴旺里,-725,727,1452,2882,4088,0.7,黃育嘉,無
臺中市北區賴明里,-762,637,1399,2608,3611,0.7,賴茂庭,中國國民黨
臺中市北區賴村里,-669,616,1285,3065,4216,0.7,廖羽婷,無
臺中市北區賴福里,-1292,606,1898,2879,3771,0.8,黃灑晴,中國國民黨
臺中市北區賴興里,-1045,665,1710,2732,3674,0.7,盧冬松,無
臺中市北區邱厝里,-573,343,916,1580,2181,0.7,高敏裕,無
臺中市北區金華里,-559,473,1032,1935,2595,0.7,蘇福安,無
臺中市北區金龍里,-557,684,1241,3114,4368,0.7,楊文欽,無
臺中市北區錦平里,-526,302,828,1273,1827,0.7,游金隆,無
臺中市北區錦村里,-738,499,1237,2309,2988,0.8,吳榮益,中國國民黨
臺中市北區錦洲里,-563,544,1107,2321,3177,0.7,吳昌隆,無
臺中市北區錦祥里,-632,1004,1636,3632,5032,0.7,林美玉,無
臺中市北區長青里,-640,1028,1668,4202,5779,0.7,林裕賜,中國國民黨
臺中市北區頂厝里,-1055,670,1725,2952,4022,0.7,呂理宗,無
臺中市北屯區三光里,-2079,1159,3238,5054,6833,0.7,林瑞芳,中國國民黨
臺中市北屯區三和里,-1963,967,2930,4156,5571,0.7,許勝雄,無
臺中市北屯區仁和里,-2508,1426,3934,6130,9287,0.7,張永漢,無
臺中市北屯區仁愛里,-180,163,343,779,1028,0.8,張耀祖,中國國民黨
臺中市北屯區仁美里,-2417,1929,4346,7149,9431,0.8,朱清華,無
臺中市北屯區北京里,-1078,446,1524,2243,3034,0.7,蘇乙青,無
臺中市北屯區北屯里,-1130,520,1650,2446,3353,0.7,歐真宗,無
臺中市北屯區北興里,-512,515,1027,2367,3191,0.7,廖玉森,無
