村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
臺中市北屯區同榮里,-1615,927,2542,4005,5261,0.8,王煌照,中國國民黨
臺中市北屯區后庄里,-2862,1803,4665,7373,9761,0.8,張瓊月,中國國民黨
臺中市北屯區和平里,-1591,2242,3833,8634,11557,0.7,林標權,無
臺中市北屯區四民里,-168,488,656,1685,2201,0.8,江麗慧,中國國民黨
臺中市北屯區大坑里,-785,331,1116,1465,2120,0.7,曾朝瑝,無
臺中市北屯區大德里,-1476,786,2262,3405,4596,0.7,李必勝,中國國民黨
臺中市北屯區平和里,-710,965,1675,3733,5065,0.7,林煜舜,無
臺中市北屯區平安里,-250,847,1097,3794,5141,0.7,吳亞君,無
臺中市北屯區平德里,-1606,1080,2686,4409,6068,0.7,歐志隆,無
臺中市北屯區平心里,-1300,871,2171,3412,4681,0.7,陳文欽,無
臺中市北屯區平昌里,-1177,729,1906,3137,4313,0.7,劉慶雲,中國國民黨
臺中市北屯區平田里,-958,946,1904,4057,5566,0.7,潘玉洪,無
臺中市北屯區平福里,-1114,581,1695,2565,3430,0.7,張振治,無
臺中市北屯區平興里,-797,1234,2031,4857,6652,0.7,黃彰國,無
臺中市北屯區平陽里,-1228,824,2052,3440,4711,0.7,張連進,無
臺中市北屯區平順里,-766,560,1326,2204,3068,0.7,賴錫鏗,無
臺中市北屯區廍子里,-2257,4548,6805,13553,18383,0.7,董銘成,無
臺中市北屯區忠平里,-1388,656,2044,2809,3732,0.8,許秀蓉,中國國民黨
臺中市北屯區新平里,-1322,672,1994,2966,4214,0.7,李良仁,中國國民黨
臺中市北屯區東光里,-1342,741,2083,3261,4509,0.7,賴文章,中國國民黨
臺中市北屯區東山里,-868,251,1119,1502,1995,0.8,邱財源,民主進步黨
臺中市北屯區松勇里,-1646,883,2529,3792,4975,0.8,王嘉君,中國國民黨
臺中市北屯區松和里,-1504,1201,2705,4668,6527,0.7,賴天權,中國國民黨
臺中市北屯區松安里,-746,854,1600,3517,4734,0.7,賴仕翰,無
臺中市北屯區松強里,-1216,1257,2473,4955,6681,0.7,魏清鏘,無
臺中市北屯區松竹里,-1286,1620,2906,6568,8771,0.7,簡禎緯,無
臺中市北屯區松茂里,-1444,889,2333,3766,5108,0.7,何志恆,無
臺中市北屯區民德里,-188,124,312,677,943,0.7,江承鴻,無
臺中市北屯區民政里,-360,137,497,704,994,0.7,黃明華,無
臺中市北屯區水景里,-3666,2512,6178,10138,13473,0.8,何明坤,無
臺中市北屯區水湳里,-1965,1096,3061,4883,6600,0.7,賴進堂,中國國民黨
臺中市北屯區舊社里,215,2992,2777,9405,12479,0.8,謝秉憲,無
臺中市北屯區軍功里,-3403,2342,5745,9404,12351,0.8,黃銘河,無
臺中市北屯區陳平里,-1351,893,2244,3396,4590,0.7,林家峯,中國國民黨
臺中市南區南和里,-1916,1323,3239,5023,7272,0.7,黃寶蓮,無
臺中市南區南門里,-515,572,1087,2612,3436,0.8,何湞惠,無
臺中市南區和平里,24,833,809,3042,4234,0.7,張敏生,無
臺中市南區國光里,-659,554,1213,2725,3665,0.7,廖胤凱,無
臺中市南區城隍里,-647,536,1183,2554,3457,0.7,林炳儀,無
臺中市南區崇倫里,-838,988,1826,4076,5353,0.8,曾素貞,民主進步黨
臺中市南區工學里,-1116,1387,2503,5100,6638,0.8,王文明,無
臺中市南區平和里,-552,517,1069,2521,3397,0.7,柯永宏,無
臺中市南區德義里,-434,444,878,2123,2818,0.8,林志昌,無
臺中市南區新榮里,45,894,849,3474,4672,0.7,蔡明昌,民主進步黨
臺中市南區樹德里,-2373,1753,4126,6500,8386,0.8,余銘記,無
臺中市南區樹義里,-1346,2617,3963,9033,11802,0.8,莊郁雄,無
臺中市南區永和里,-892,849,1741,3345,4564,0.7,李起綸,無
臺中市南區永興里,-616,1569,2185,5936,7853,0.8,陳松鶴,無
臺中市南區江川里,-408,426,834,2027,2662,0.8,楊明俊,無
臺中市南區福平里,-1504,933,2437,3874,5196,0.7,張啓龍,中國國民黨
臺中市南區福興里,-921,571,1492,2811,3717,0.8,陳友龍,無
臺中市南區福順里,-773,1142,1915,4180,5582,0.7,鄭正叡,無
臺中市南區積善里,-654,350,1004,1855,2458,0.8,余惠貞,無
臺中市南區西川里,-1410,763,2173,3086,4122,0.7,葉家宏,無
臺中市南區長春里,-521,240,761,1279,1789,0.7,林姍汝,無
臺中市南區長榮里,-977,371,1348,1773,2297,0.8,林政蒼,無
臺中市南屯區三厝里,-1894,1491,3385,5373,7165,0.7,黃俊銘,民主進步黨
臺中市南屯區三和里,-2165,1671,3836,6513,8587,0.8,張家蓉,無
臺中市南屯區三義里,-1752,1191,2943,4817,6261,0.8,陳惠鈴,無
臺中市南屯區中和里,-1431,683,2114,3101,4122,0.8,蔡德勇,無
臺中市南屯區南屯里,-2512,1502,4014,6229,8332,0.7,林秋潭,中國國民黨
臺中市南屯區同心里,-555,963,1518,3883,5225,0.7,蔡保秀,無
臺中市南屯區向心里,-1273,918,2191,3646,5491,0.7,蕭惠丰,無
臺中市南屯區大同里,-998,930,1928,3710,4840,0.8,游月珠,無
臺中市南屯區大業里,-1955,1143,3098,4933,6572,0.8,賴樹杉,無
臺中市南屯區大興里,-900,746,1646,3285,4321,0.8,許鳳凰,無
臺中市南屯區大誠里,-1059,696,1755,2758,3645,0.8,王宗裕,無
臺中市南屯區寶山里,-487,1077,1564,3869,5216,0.7,廖振源,無
臺中市南屯區惠中里,-1933,1450,3383,5949,8006,0.7,沈呈融,無
臺中市南屯區文山里,-510,2616,3126,8430,11334,0.7,何中信,無
臺中市南屯區文心里,-915,694,1609,2853,3799,0.8,王國在,中國國民黨
臺中市南屯區新生里,-385,662,1047,2432,3232,0.8,盧坤炳,無
臺中市南屯區春安里,-9,718,727,1893,2488,0.8,閻新懃,無
臺中市南屯區春社里,-943,989,1932,4414,6504,0.7,李志洋,無
臺中市南屯區楓樹里,-1481,1052,2533,4699,5996,0.8,陳伯仲,無
臺中市南屯區永定里,-656,948,1604,3920,5150,0.8,賴榮斌,無
臺中市南屯區溝墘里,-1438,956,2394,4112,5296,0.8,郭錦興,中國國民黨
臺中市南屯區田心里,-795,1245,2040,4892,6450,0.8,吳碧珣,無
臺中市南屯區豐樂里,-865,2010,2875,8717,11356,0.8,蔡奇洲,無
臺中市南屯區鎮平里,-523,162,685,966,1245,0.8,廖秀麗,無
臺中市南屯區黎明里,-664,633,1297,3009,3965,0.8,廖福田,中國國民黨
臺中市后里區中和里,-280,414,694,1762,2333,0.8,陳水波,無
臺中市后里區仁里里,-286,149,435,723,982,0.7,鐘基文,無
臺中市后里區公館里,-873,319,1192,1560,2114,0.7,馮詠淮,無
臺中市后里區厚里里,-854,381,1235,1591,2096,0.8,黃金益,無
臺中市后里區后里里,-1103,629,1732,2705,3542,0.8,楊春明,無
臺中市后里區墩北里,-583,605,1188,2591,3474,0.7,羅金浩,無
臺中市后里區墩南里,-1184,584,1768,2513,3322,0.8,陳輝,無
臺中市后里區墩東里,-764,811,1575,3464,4630,0.7,張建湖,無
臺中市后里區墩西里,-696,295,991,1344,1883,0.7,紀廷芳,無
臺中市后里區太平里,-505,360,865,1502,2050,0.7,黃士瑋,無
臺中市后里區廣福里,-745,299,1044,1388,1992,0.7,郭明洲,中國國民黨
臺中市后里區月眉里,-412,326,738,1443,1950,0.7,吳新春,無
臺中市后里區泰安里,-214,239,453,1025,1382,0.7,謝學和,無
臺中市后里區眉山里,-418,618,1036,2396,3221,0.7,潘錦致,無
臺中市后里區義德里,-962,395,1357,1786,2465,0.7,謝榮慶,無
臺中市后里區義里里,-418,498,916,2193,2968,0.7,林東成,無
臺中市后里區聯合里,-393,264,657,1122,1547,0.7,陳查某,無
臺中市后里區舊社里,-478,420,898,1651,2197,0.8,林有盛,無
臺中市和平區中坑里,-103,64,167,344,448,0.8,李明毅,無
臺中市和平區南勢里,-454,235,689,1314,1864,0.7,劉興隆,無
臺中市和平區博愛里,-449,167,616,1071,1567,0.7,范忠文,無
臺中市和平區天輪里,-86,57,143,326,445,0.7,劉興水,無
臺中市和平區平等里,-239,73,312,523,886,0.6,梁韶陽,無
臺中市和平區梨山里,-329,152,481,1016,1928,0.5,賴盛功,無
臺中市和平區自由里,-168,141,309,757,1056,0.7,林永智,無
臺中市和平區達觀里,-300,113,413,796,1109,0.7,吳振福,無
臺中市外埔區三崁里,-326,301,627,1314,1842,0.7,林月草,無
臺中市外埔區中山里,-249,239,488,887,1164,0.8,張素惠,無
臺中市外埔區六分里,-683,414,1097,1604,2144,0.7,劉黃碧霞,無
臺中市外埔區土城里,-491,202,693,1137,1486,0.8,鄭興川,無
臺中市外埔區大同里,-1714,851,2565,3400,4520,0.8,林益年,無
臺中市外埔區大東里,-717,1191,1908,4551,6183,0.7,高芳春,無
臺中市外埔區廍子里,-283,173,456,787,1112,0.7,廖泰祥,無
臺中市外埔區水美里,-487,668,1155,2452,3301,0.7,陳俊樑,無
臺中市外埔區永豐里,-340,203,543,767,1057,0.7,洪俊義,無
臺中市外埔區鐵山里,-537,348,885,1462,2083,0.7,劉圳,無
臺中市外埔區馬鳴里,-544,224,768,953,1314,0.7,顏慶慰,無
臺中市大安區中庄里,-1021,415,1436,1771,2542,0.7,莊明堯,無
臺中市大安區南埔里,-396,142,538,679,987,0.7,林恭,無
臺中市大安區南庄里,-371,160,531,686,960,0.7,陳炳煌,無
臺中市大安區東安里,-537,194,731,899,1173,0.8,黃為德,無
臺中市大安區松雅里,-220,202,422,755,970,0.8,張鐿騰,無
臺中市大安區永安里,-316,284,600,1198,1673,0.7,謝綢,無
臺中市大安區海墘里,-496,239,735,947,1338,0.7,王勝宗,無
臺中市大安區福住里,-236,167,403,730,1038,0.7,吳添福,無
臺中市大安區福興里,-454,187,641,790,1086,0.7,林正岳,無
臺中市大安區西安里,-593,308,901,1212,1668,0.7,紀木淵,無
臺中市大安區頂安里,-240,130,370,618,850,0.7,陳麗涓,無
臺中市大安區龜壳里,-381,237,618,1031,1429,0.7,洪正義,無
臺中市大甲區中山里,-1240,908,2148,3376,4594,0.7,廖嘉佐,中國國民黨
臺中市大甲區南陽里,-336,128,464,570,777,0.7,黃火塗,無
臺中市大甲區大甲里,-371,152,523,697,924,0.8,黃勝裕,無
臺中市大甲區太白里,-255,169,424,844,1155,0.7,游招滿,民主進步黨
臺中市大甲區奉化里,-270,401,671,1484,1961,0.8,白見發,無
臺中市大甲區孔門里,-106,108,214,466,718,0.6,吳柏坤,無
臺中市大甲區孟春里,-1487,630,2117,2713,3822,0.7,黃湘榕,無
臺中市大甲區岷山里,-322,359,681,1468,1990,0.7,林清良,無
臺中市大甲區平安里,-816,317,1133,1425,1919,0.7,周寶惜,無
臺中市大甲區幸福里,-416,389,805,1699,2434,0.7,林晨彬,無
臺中市大甲區庄美里,-666,367,1033,1527,1990,0.8,魏李嫌,無
臺中市大甲區建興里,-486,211,697,1000,1395,0.7,蔡明河,無
臺中市大甲區德化里,-538,329,867,1259,1681,0.7,李柄杉,無
臺中市大甲區文曲里,-374,143,517,714,1040,0.7,林寶彩,無
臺中市大甲區文武里,-1826,981,2807,3834,5106,0.8,葉淑惠,民主進步黨
臺中市大甲區新美里,-1293,568,1861,2398,3194,0.8,王生源,無
臺中市大甲區日南里,-724,971,1695,3837,5380,0.7,邱大豪,無
臺中市大甲區朝陽里,-151,218,369,935,1258,0.7,林立偉,無
臺中市大甲區武曲里,-424,356,780,1313,1728,0.8,蘇月鳳,無
臺中市大甲區武陵里,-307,193,500,832,1124,0.7,方如玉,無
臺中市大甲區江南里,-410,251,661,946,1331,0.7,李文登,無
臺中市大甲區福德里,-452,169,621,755,1056,0.7,莊金波,無
臺中市大甲區義和里,-570,632,1202,2352,3119,0.8,洪黃素貞,無
臺中市大甲區薰風里,-404,131,535,674,862,0.8,王秋芬,無
臺中市大甲區西岐里,-584,290,874,1211,1622,0.7,羅永宗,無
臺中市大甲區銅安里,-256,221,477,924,1311,0.7,林玉生,無
臺中市大甲區頂店里,-227,825,1052,3260,4382,0.7,黃安鎮,無
臺中市大甲區順天里,-319,221,540,1056,1458,0.7,陳威宇,無
臺中市大甲區龍泉里,-513,231,744,1044,1432,0.7,陳廷旺,無
臺中市大肚區中和里,-180,152,332,639,833,0.8,陳怡均,無
臺中市大肚區大東里,-1046,477,1523,2193,2921,0.8,趙政忠,無
臺中市大肚區大肚里,-843,377,1220,1648,2095,0.8,陳銘潭,無
臺中市大肚區山陽里,-313,202,515,955,1271,0.8,黃冠陽,無
臺中市大肚區成功里,-288,164,452,712,911,0.8,陳新座,無
臺中市大肚區新興里,-692,337,1029,1875,2524,0.7,林華龍,無
臺中市大肚區永和里,-330,93,423,586,782,0.7,劉文芳,無
臺中市大肚區永順里,-359,274,633,1273,1650,0.8,陳秋益,無
臺中市大肚區營埔里,-550,253,803,1081,1457,0.7,楊宗吉,無
臺中市大肚區王田里,-399,763,1162,3170,4233,0.7,孫清海,無
臺中市大肚區瑞井里,-871,903,1774,3756,5133,0.7,洪忠祿,無
臺中市大肚區磺溪里,-206,297,503,1276,1657,0.8,趙奕忻,無
臺中市大肚區社腳里,-856,412,1268,1808,2324,0.8,陳榮銀,無
臺中市大肚區福山里,-594,528,1122,2558,3380,0.8,林弘岳,無
臺中市大肚區自強里,-1095,521,1616,2404,3338,0.7,林順安,中國國民黨
臺中市大肚區蔗廍里,-687,851,1538,3576,4969,0.7,童麗香,無
臺中市大肚區頂街里,-2379,1296,3675,5417,7311,0.7,陳武徹,無
臺中市大里區中新里,-690,1079,1769,3852,5312,0.7,廖榮木,無
臺中市大里區仁化里,-690,1548,2238,5916,8108,0.7,陳宗興,無
臺中市大里區仁德里,-1220,1105,2325,4201,5701,0.7,林志忠,無
臺中市大里區健民里,-621,965,1586,3695,5114,0.7,楊進祿,無
臺中市大里區內新里,-278,1576,1854,6036,8207,0.7,林溢源,無
臺中市大里區國光里,-1482,1094,2576,4213,5551,0.8,魏益川,無
臺中市大里區塗城里,-2571,1383,3954,5826,8110,0.7,黃仁耀,中國國民黨
臺中市大里區夏田里,-379,148,527,700,912,0.8,曾盛琪,無
臺中市大里區大元里,-1252,730,1982,2947,3955,0.7,林瑞興,無
臺中市大里區大明里,-519,713,1232,2978,4111,0.7,黃顯堂,民主進步黨
臺中市大里區大里里,-1312,633,1945,2692,3709,0.7,李錫全,無
臺中市大里區新仁里,-1500,1448,2948,5652,7713,0.7,洪家裕,無
臺中市大里區新里里,-1085,1913,2998,7278,10451,0.7,何世琦,無
臺中市大里區日新里,-1330,761,2091,3222,4246,0.8,顏子,無
臺中市大里區東昇里,-344,558,902,2392,3279,0.7,陳進發,無
臺中市大里區東湖里,-2477,1865,4342,7469,10519,0.7,何天祿,無
臺中市大里區東興里,-597,1194,1791,5005,6681,0.7,許榮良,無
臺中市大里區樹王里,-1119,642,1761,2683,3564,0.8,陳俞樺,無
臺中市大里區永隆里,-357,2073,2430,7648,9756,0.8,黃秀玲,無
臺中市大里區瑞城里,-999,2281,3280,8522,11560,0.7,蔡承翰,無
臺中市大里區祥興里,-649,1335,1984,5303,7318,0.7,黃春海,無
臺中市大里區立仁里,-492,984,1476,3750,5270,0.7,孫正宇,無
臺中市大里區立德里,-675,1534,2209,5737,7700,0.7,江慶賢,無
臺中市大里區西榮里,-857,945,1802,3843,5358,0.7,羅文評,無
臺中市大里區西湖里,-927,443,1370,2001,2732,0.7,賴加彬,無
臺中市大里區金城里,-1472,1670,3142,6561,9216,0.7,潘國琦,中國國民黨
臺中市大里區長榮里,-1028,1623,2651,6308,8393,0.8,洪資源,中國國民黨
臺中市大雅區三和里,-1518,1003,2521,3944,5237,0.8,廖顯彬,中國國民黨
臺中市大雅區上楓里,-1682,1274,2956,4714,6290,0.7,鄧兆堂,無
臺中市大雅區上雅里,-263,1237,1500,4323,6022,0.7,陳映辰,無
臺中市大雅區二和里,-1305,1168,2473,4414,5973,0.7,陳明村,無
臺中市大雅區六寶里,-645,1013,1658,4311,5992,0.7,步佔鐘,中國國民黨
臺中市大雅區員林里,-1366,1830,3196,6952,9146,0.8,張本侒,無
臺中市大雅區四德里,-1294,896,2190,3329,4435,0.8,呂啟勳,無
臺中市大雅區大楓里,-509,886,1395,3575,4930,0.7,蔡界地,無
臺中市大雅區大雅里,-1419,722,2141,3203,4233,0.8,李玲珍,無
臺中市大雅區忠義里,-1171,504,1675,2490,3541,0.7,林義木,中國國民黨
臺中市大雅區文雅里,-512,1117,1629,4290,5879,0.7,劉亦銘,無
臺中市大雅區橫山里,-1311,827,2138,3181,4207,0.8,張聖河,無
臺中市大雅區秀山里,-582,574,1156,2489,3289,0.8,蔡錦瑭,無
臺中市大雅區西寶里,-1333,825,2158,3371,4706,0.7,劉孝民,無
臺中市大雅區雅楓里,-741,566,1307,2426,3419,0.7,張東開,無
臺中市太平區中山里,-993,465,1458,2180,3812,0.6,閻泰利,中國國民黨
臺中市太平區中平里,-1302,656,1958,2811,3928,0.7,林碧森,無
臺中市太平區中政里,-970,559,1529,2449,3523,0.7,林宗慶,無
臺中市太平區中興里,-970,531,1501,2250,3069,0.7,林阿爐,無
臺中市太平區光明里,-1066,603,1669,2624,3774,0.7,胥樹文,中國國民黨
臺中市太平區光華里,-1652,810,2462,3723,5194,0.7,黃鐵騫,無
臺中市太平區光隆里,-896,493,1389,2150,2991,0.7,張雅芳,無
臺中市太平區勤益里,-305,340,645,1504,2107,0.7,馮耀祖,中國國民黨
臺中市太平區坪林里,-554,482,1036,2320,3181,0.7,尤文雄,無
臺中市太平區大興里,-315,391,706,1722,2484,0.7,鄭金川,無
臺中市太平區太平里,-727,825,1552,3651,5075,0.7,林龍洲,無
臺中市太平區宜佳里,-1572,1076,2648,4216,5966,0.7,張麗眞,無
臺中市太平區宜昌里,-1082,797,1879,3009,4325,0.7,林進發,無
臺中市太平區宜欣里,-1759,984,2743,4289,6140,0.7,楊登圳,中國國民黨
臺中市太平區平安里,-689,352,1041,1530,2114,0.7,施秀彩,無
臺中市太平區建國里,-774,449,1223,1979,2803,0.7,江德海,中國國民黨
臺中市太平區建興里,-827,384,1211,1848,2803,0.7,胡長志,中國國民黨
臺中市太平區德隆里,-573,828,1401,3323,4730,0.7,吳燕明,無
臺中市太平區成功里,-678,684,1362,2647,3810,0.7,洪大鈞,無
臺中市太平區新光里,-1983,1404,3387,5513,7502,0.7,游癸龍,無
臺中市太平區新吉里,-493,1182,1675,4163,5612,0.7,黃天財,無
臺中市太平區新坪里,-793,1479,2272,5539,7738,0.7,紀進豐,無
臺中市太平區新城里,-335,1176,1511,4054,5905,0.7,胡錩宏,無
臺中市太平區新福里,-1695,1379,3074,5073,6939,0.7,李子濬,無
臺中市太平區新興里,-775,1453,2228,4662,6121,0.8,李建民,無
臺中市太平區新高里,-1766,2048,3814,6614,8838,0.7,江姿樺,無
臺中市太平區東和里,-796,457,1253,1900,2738,0.7,賴來旺,無
臺中市太平區東平里,-611,714,1325,2852,4036,0.7,温錦昌,無
臺中市太平區東汴里,-439,139,578,764,1125,0.7,呂坤龍,無
臺中市太平區永平里,-454,734,1188,2858,4004,0.7,賴義涼,無
臺中市太平區永成里,-689,1273,1962,4925,6773,0.7,陳秋蟬,無
臺中市太平區永隆里,-456,405,861,1788,2436,0.7,張立緯,無
臺中市太平區福隆里,-1079,559,1638,2533,3545,0.7,黃楷能,無
臺中市太平區聖和里,-263,213,476,1057,1503,0.7,劉佳明,無
臺中市太平區興隆里,-593,464,1057,2191,3145,0.7,張閔南,無
臺中市太平區豐年里,-1456,651,2107,3112,4214,0.7,劉盈欣,無
臺中市太平區長億里,-168,1188,1356,4677,6296,0.7,林泳鰡,無
臺中市太平區頭汴里,-473,207,680,1186,1746,0.7,江思涵,無
臺中市太平區黃竹里,-300,72,372,435,600,0.7,林元成,無
臺中市新社區中和里,-283,60,343,406,539,0.8,鄭文章,無
臺中市新社區中正里,-570,218,788,976,1331,0.7,張鳳梅,無
臺中市新社區中興里,-240,55,295,440,584,0.8,李劉秀雲,中國國民黨
臺中市新社區協成里,-1145,374,1519,1987,2791,0.7,王再興,無
臺中市新社區大南里,-482,228,710,1283,1791,0.7,黃逸峯,無
臺中市新社區崑山里,-216,148,364,825,1100,0.8,廖銘洲,無
臺中市新社區復盛里,-712,283,995,1240,1746,0.7,柯廷蓁,無
臺中市新社區慶西里,-309,108,417,602,857,0.7,蔡嘉宜,無
臺中市新社區新社里,-692,507,1199,2375,3145,0.8,黃正光,無
臺中市新社區月湖里,-456,125,581,693,968,0.7,高清源,無
臺中市新社區東興里,-322,161,483,834,1166,0.7,張文明,無
臺中市新社區永源里,-654,413,1067,2181,2853,0.8,蘇東波,無
臺中市新社區福興里,-334,95,429,741,1080,0.7,劉春財,無
臺中市東勢區上城里,-400,139,539,694,922,0.8,張玉雲,無
臺中市東勢區上新里,-229,127,356,700,907,0.8,王綉滿,中國國民黨
臺中市東勢區下城里,-369,93,462,583,810,0.7,劉海湖,無
臺中市東勢區下新里,-327,226,553,1152,1577,0.7,劉發現,無
臺中市東勢區中寧里,-253,117,370,568,793,0.7,廖歆,無
臺中市東勢區中嵙里,-425,251,676,1266,1781,0.7,王鎭樑,無
臺中市東勢區北興里,-250,204,454,949,1377,0.7,李德興,無
臺中市東勢區南平里,-716,245,961,1263,1681,0.8,黃文茂,無
臺中市東勢區埤頭里,-187,98,285,481,636,0.8,林坤詮,無
臺中市東勢區廣興里,-503,177,680,961,1330,0.7,廖紫台,無
臺中市東勢區延平里,-899,280,1179,1491,2044,0.7,吳文龍,無
臺中市東勢區慶東里,-302,229,531,1303,1778,0.7,黃國修,無
臺中市東勢區慶福里,-474,142,616,778,1177,0.7,林金泉,無
臺中市東勢區新盛里,-1179,741,1920,3478,4713,0.7,吳進聰,無
臺中市東勢區明正里,-400,155,555,894,1297,0.7,吳萬明,無
臺中市東勢區東安里,-416,130,546,696,962,0.7,楊嘉裕,無
臺中市東勢區東新里,-474,301,775,1469,1929,0.8,余運來,無
臺中市東勢區泰昌里,-1113,461,1574,2376,3229,0.7,徐鎮富,無
臺中市東勢區泰興里,-298,89,387,498,688,0.7,江國豐,無
臺中市東勢區福隆里,-795,523,1318,2633,3639,0.7,林品巧,無
臺中市東勢區粵寧里,-859,273,1132,1441,1933,0.7,詹德旺,無
臺中市東勢區興隆里,-268,146,414,801,1125,0.7,徐錦全,無
臺中市東勢區茂興里,-674,243,917,1257,1774,0.7,吳仁文,無
臺中市東勢區詒福里,-258,207,465,1132,1544,0.7,郭丞漢,無
臺中市東勢區隆興里,-530,165,695,967,1368,0.7,蘇清泉,無
臺中市東區十甲里,-1465,856,2321,3577,4832,0.7,林昑照,無
臺中市東區合作里,-710,673,1383,2797,3890,0.7,曾建成,中國國民黨
臺中市東區富仁里,-762,572,1334,2804,3915,0.7,施文海,中國國民黨
臺中市東區富台里,-220,234,454,1176,1668,0.7,石國勳,中國國民黨
臺中市東區干城里,-387,370,757,1630,2139,0.8,張碧芝,無
臺中市東區振興里,-611,437,1048,2185,2942,0.7,劉作文,無
臺中市東區新庄里,-913,394,1307,1816,2893,0.6,洪宗毅,無
臺中市東區旱溪里,-460,365,825,1813,2404,0.8,郭松益,無
臺中市東區東信里,-1620,1484,3104,6561,8647,0.8,洪榮吉,無
臺中市東區東勢里,-731,386,1117,1775,2542,0.7,張財良,中國國民黨
臺中市東區東南里,-1035,620,1655,2717,3736,0.7,王瑞發,中國國民黨
臺中市東區東橋里,-814,594,1408,2714,3613,0.8,何冠緯,無
臺中市東區東興里,-419,487,906,2122,2764,0.8,宋茂榮,中國國民黨
