村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
桃園市中壢區三民里,160,553,393,1154,1548,74.55,陳富豐,無
桃園市中壢區中原里,-10,578,588,831,1100,75.55,沈清進,無
桃園市中壢區中堅里,38,667,629,1004,1390,72.23,吳瑞柱,中國國民黨
桃園市中壢區中壢里,-182,104,286,502,672,74.70,官鍾秀鳳,無
桃園市中壢區中央里,194,534,340,1027,1354,75.85,楊萬焙,無
桃園市中壢區中山里,426,879,453,1160,1640,70.73,王寧政,中國國民黨
桃園市中壢區中建里,-390,155,545,704,997,70.61,李應偉,無
桃園市中壢區中榮里,-200,128,328,583,795,73.33,劉文正,無
桃園市中壢區中正里,418,976,558,796,1190,66.89,王財得,無
桃園市中壢區中興里,107,687,580,799,1173,68.12,黎莉莉,無
桃園市中壢區五權里,903,1209,306,914,1264,72.31,謝浩炎,無
桃園市中壢區五福里,23,554,531,768,1048,73.28,林賴玉英,無
桃園市中壢區仁和里,230,674,444,1034,1383,74.77,陳長來,中國國民黨
桃園市中壢區仁德里,-76,486,562,1131,1577,71.72,吳導君,中國國民黨
桃園市中壢區仁愛里,-241,554,795,1082,1450,74.62,鄧立敦,無
桃園市中壢區仁祥里,28,441,413,1078,1482,72.74,戴玉鑫,無
桃園市中壢區仁福里,440,788,348,1174,1612,72.83,李秀琴,無
桃園市中壢區仁美里,375,922,547,1055,1488,70.90,洪文吉,無
桃園市中壢區仁義里,59,713,654,827,1168,70.80,張正忠,無
桃園市中壢區信義里,422,810,388,1014,1288,78.73,王一玲,無
桃園市中壢區健行里,116,800,684,992,1302,76.19,劉邦笙,無
桃園市中壢區光明里,179,908,729,1167,1577,74.00,林坤泉,中國國民黨
桃園市中壢區內厝里,237,835,598,1251,1675,74.69,劉綵螢,無
桃園市中壢區內壢里,-203,326,529,726,1079,67.28,林勝傑,中國國民黨
桃園市中壢區內定里,853,1287,434,880,1193,73.76,劉家順,無
桃園市中壢區和平里,-229,472,701,897,1204,74.50,盧栽寬,無
桃園市中壢區山東里,289,620,331,874,1229,71.11,劉來發,無
桃園市中壢區幸福里,428,1173,745,1102,1543,71.42,陳耀金,無
桃園市中壢區後寮里,324,898,574,1004,1362,73.72,巫清詔,中國國民黨
桃園市中壢區復興里,468,822,354,857,1219,70.30,朱承恩,無
桃園市中壢區復華里,520,1056,536,919,1244,73.87,曾榮煥,無
桃園市中壢區德義里,-347,420,767,801,1108,72.29,楊建雲,中國國民黨
桃園市中壢區忠孝里,168,918,750,1247,1609,77.50,游緣如,無
桃園市中壢區忠福里,380,832,452,956,1249,76.54,謝光輝,無
桃園市中壢區忠義里,229,772,543,1033,1533,67.38,簡秋榮,無
桃園市中壢區成功里,418,819,401,1124,1548,72.61,卓聖紋,無
