村里,2024-2022,2024民眾黨,2022村里長得票,2024投票數,2024選舉人數,2024投票率,里長姓名,里長政黨
桃園市中壢區振興里,259,799,540,944,1235,76.44,董文昌,無
桃園市中壢區文化里,1018,1672,654,1025,1392,73.64,張文釧,無
桃園市中壢區新明里,29,619,590,870,1197,72.68,盧肇興,中國國民黨
桃園市中壢區新興里,222,635,413,887,1210,73.31,李偉民,無
桃園市中壢區新街里,-214,387,601,809,1145,70.66,莊金泉,無
桃園市中壢區明德里,601,915,314,1211,1641,73.80,陳朝福,無
桃園市中壢區普仁里,282,652,370,957,1383,69.20,張鳳凰,無
桃園市中壢區普強里,-68,679,747,828,1087,76.17,江長榮,無
桃園市中壢區普忠里,76,583,507,1242,1652,75.18,許志煒,無
桃園市中壢區普慶里,-231,477,708,1055,1380,76.45,鍾洪玉女,無
桃園市中壢區普義里,241,670,429,890,1161,76.66,黃崇修,無
桃園市中壢區月眉里,702,1083,381,1034,1393,74.23,邱垂宏,無
桃園市中壢區東興里,-29,562,591,1203,1656,72.64,莊英起,無
桃園市中壢區林森里,228,699,471,1004,1327,75.66,郭蓮金,無
桃園市中壢區正義里,364,765,401,991,1366,72.55,高銀祝,無
桃園市中壢區水尾里,222,651,429,827,1148,72.04,温永達,無
桃園市中壢區永光里,629,1014,385,945,1278,73.94,陳廉聖,無
桃園市中壢區永福里,471,1013,542,424,636,66.67,黃寶貞,無
桃園市中壢區永興里,-331,130,461,630,882,71.43,方明裕,無
桃園市中壢區洽溪里,615,1275,660,986,1333,73.97,游家興,無
桃園市中壢區石頭里,-598,222,820,1115,1576,70.75,王子林,無
桃園市中壢區福德里,19,481,462,960,1282,74.88,王菁華,無
桃園市中壢區篤行里,-68,565,633,925,1300,71.15,楊婷芸,無
桃園市中壢區自信里,565,1042,477,964,1320,73.03,徐瑞珍,中國國民黨
桃園市中壢區自強里,-329,603,932,940,1279,73.49,黃省慶,無
桃園市中壢區自治里,-321,599,920,942,1295,72.74,吳宏駿,無
桃園市中壢區自立里,484,817,333,908,1226,74.06,黃麗芬,無
桃園市中壢區至善里,43,646,603,744,1051,70.79,梁惠鈴,無
桃園市中壢區興仁里,100,572,472,805,1115,72.20,李振榮,中國國民黨
桃園市中壢區興南里,-85,463,548,977,1317,74.18,葉青旺,無
桃園市中壢區興和里,-162,465,627,737,972,75.82,薛麗惠,無
桃園市中壢區興國里,-171,333,504,707,960,73.65,彭政銘,無
桃園市中壢區興平里,-44,390,434,888,1172,75.77,沈騰雲,無
桃園市中壢區興福里,246,690,444,906,1178,76.91,廖國光,無
桃園市中壢區興華里,767,1196,429,974,1389,70.12,林紅棗,無
桃園市中壢區舊明里,-338,197,535,1012,1359,74.47,羅善婷,無
桃園市中壢區芝芭里,187,911,724,1024,1398,73.25,黃連應,無
桃園市中壢區莊敬里,-327,531,858,1253,1695,73.92,劉邦茂,中國國民黨
桃園市中壢區華勛里,205,747,542,757,1018,74.36,朱夢奇,中國國民黨
桃園市中壢區華愛里,32,624,592,840,1198,70.12,陳能娟,無
桃園市中壢區過嶺里,1632,2008,376,951,1267,75.06,邱本源,無
桃園市中壢區金華里,312,773,461,1158,1433,80.81,謝岩介,無
桃園市中壢區青埔里,2200,2379,179,1202,1613,74.52,張茂土,無
桃園市中壢區青溪里,15,765,750,1247,1658,75.21,李詠芳,無
桃園市中壢區龍安里,-43,303,346,708,930,76.13,楊敬德,中國國民黨
桃園市中壢區龍岡里,-34,726,760,1150,1575,73.02,吳淑情,中國國民黨
桃園市中壢區龍平里,-117,402,519,959,1286,74.57,李慶融,無
桃園市中壢區龍德里,114,710,596,967,1287,75.14,邱文正,無
桃園市中壢區龍慈里,493,954,461,863,1113,77.54,宋化森,無
桃園市中壢區龍昌里,621,1078,457,954,1209,78.91,戎政成,無
桃園市中壢區龍東里,244,774,530,1190,1644,72.38,陳家豐,中國國民黨
桃園市中壢區龍興里,162,744,582,883,1178,74.96,徐秋妲,無
桃園市八德區大仁里,122,726,604,813,1058,76.84,張國平,無
桃園市八德區大信里,-23,449,472,967,1380,70.07,王沛靜,中國國民黨
桃園市八德區大勇里,216,716,500,901,1222,73.73,劉信通,無
桃園市八德區大千里,-140,387,527,778,1050,74.10,呂黎靜,無
桃園市八德區大同里,-642,199,841,1078,1467,73.48,王錫文,無
桃園市八德區大和里,655,1335,680,1071,1603,66.81,鄭秀英,無
桃園市八德區大安里,262,615,353,964,1318,73.14,江朝雄,無
桃園市八德區大宏里,599,1059,460,1206,1591,75.80,楊萬得,無
桃園市八德區大強里,-22,540,562,1219,1598,76.28,李明賢,無
桃園市八德區大忠里,-616,270,886,1207,1715,70.38,劉銘勲,中國國民黨
桃園市八德區大愛里,-54,456,510,920,1265,72.73,黃華隆,無
桃園市八德區大慶里,-411,210,621,964,1370,70.36,李建銘,無
桃園市八德區大成里,-167,509,676,1195,1565,76.36,邱得盛,無
桃園市八德區大昌里,31,422,391,984,1314,74.89,黃弘易,無
桃園市八德區大明里,202,618,416,795,1168,68.07,呂新添,無
桃園市八德區大智里,322,821,499,1078,1469,73.38,鄭淑霞,無
桃園市八德區大榮里,-18,316,334,698,954,73.17,楊兆強,無
桃園市八德區大正里,160,882,722,1054,1392,75.72,郭明法,中國國民黨
桃園市八德區大湳里,180,661,481,1040,1383,75.20,鄭桂林,無
桃園市八德區大漢里,323,741,418,1015,1375,73.82,吳建浩,無
桃園市八德區大發里,-8,331,339,765,1035,73.91,李東標,中國國民黨
桃園市八德區大福里,536,952,416,1000,1256,79.62,呂學昌,中國國民黨
桃園市八德區大竹里,-562,275,837,1148,1498,76.64,鄭榮輝,無
桃園市八德區大義里,-28,556,584,792,1183,66.95,尤金源,無
桃園市八德區大興里,365,743,378,1065,1452,73.35,張政雄,無
桃園市八德區大華里,-165,408,573,846,1155,73.25,王福順,無
桃園市八德區大順里,64,382,318,796,1105,72.04,陳約西,無
桃園市八德區廣德里,-156,504,660,920,1255,73.31,吳在能,無
桃園市八德區廣興里,-13,505,518,1096,1617,67.78,呂理瑋,無
桃園市八德區廣隆里,449,776,327,1015,1346,75.41,蘇臻宥,中國國民黨
桃園市八德區永豐里,-143,499,642,1076,1515,71.02,趙令城,無
桃園市八德區瑞德里,-131,480,611,754,1051,71.74,康秀雲,中國國民黨
桃園市八德區瑞泰里,248,666,418,1013,1372,73.83,李秀雯,無
桃園市八德區瑞發里,-39,475,514,1165,1560,74.68,王國棟,中國國民黨
桃園市八德區瑞祥里,40,518,478,1092,1509,72.37,張是華,中國國民黨
桃園市八德區瑞興里,37,503,466,1070,1458,73.39,林昆德,無
桃園市八德區瑞豐里,1004,1285,281,945,1282,73.71,呂學琪,中國國民黨
桃園市八德區白鷺里,-266,462,728,1113,1609,69.17,黃慶玉,無
桃園市八德區福元里,518,919,401,915,1298,70.49,林含芳,無
桃園市八德區福德里,106,634,528,987,1429,69.07,呂宜政,無
桃園市八德區福興里,458,976,518,1085,1535,70.68,姚成達,中國國民黨
桃園市八德區竹園里,341,637,296,770,1117,68.93,劉榮貴,無
桃園市八德區興中里,422,945,523,975,1335,73.03,李佩芯,無
桃園市八德區興仁里,447,712,265,1130,1568,72.07,羅慧蓉,無
桃園市八德區茄明里,486,881,395,1273,1834,69.41,張坤良,無
桃園市八德區茄苳里,-127,465,592,953,1293,73.70,賴弘毅,無
桃園市八德區陸光里,-50,585,635,1022,1458,70.10,何金鳳,中國國民黨
桃園市八德區霄裡里,-174,344,518,805,1166,69.04,温玉紅,無
桃園市八德區高城里,-35,577,612,1143,1541,74.17,徐添發,無
桃園市八德區高明里,31,635,604,949,1301,72.94,呂峻安,中國國民黨
桃園市八德區龍友里,-60,301,361,771,1089,70.80,張修文,中國國民黨
桃園市大園區三石里,-88,431,519,957,1334,71.74,張世良,無
桃園市大園區五權里,337,969,632,877,1229,71.36,游振輝,無
桃園市大園區內海里,-213,349,562,849,1181,71.89,許程睿,無
桃園市大園區北港里,-159,513,672,1079,1535,70.29,蔡烱烈,無
桃園市大園區南港里,708,1311,603,734,1156,63.49,許茂,無
桃園市大園區和平里,-606,230,836,1131,1609,70.29,劉鈺貞,無
桃園市大園區圳頭里,-134,295,429,645,917,70.34,卓榮騰,無
桃園市大園區埔心里,226,750,524,785,1137,69.04,盧宜芳,無
桃園市大園區大園里,211,964,753,1118,1561,71.62,林文川,無
桃園市大園區大海里,-237,109,346,533,702,75.93,陳雲清,無
桃園市大園區後厝里,-211,132,343,609,799,76.22,林有財,無
桃園市大園區橫峰里,171,730,559,975,1407,69.30,徐振坤,無
桃園市大園區沙崙里,-116,194,310,488,710,68.73,游素珠,無
桃園市大園區海口里,-243,166,409,686,990,69.29,張金鳳,無
桃園市大園區溪海里,71,793,722,1056,1585,66.62,劉健勲,無
桃園市大園區田心里,802,1320,518,969,1340,72.31,黃興隆,無
桃園市大園區竹圍里,-129,150,279,721,958,75.26,陳萬金,無
桃園市大園區菓林里,399,910,511,984,1369,71.88,陳錫達,無
桃園市大園區青山里,285,788,503,1055,1393,75.74,李吳彩月,無
桃園市大園區青峰里,625,899,274,1035,1398,74.03,劉秋霞,無
桃園市大溪區一德里,121,817,696,880,1210,72.73,呂理民,無
桃園市大溪區一心里,289,745,456,758,1102,68.78,黃進賢,無
桃園市大溪區三元里,62,438,376,974,1405,69.32,黃永林,無
桃園市大溪區中新里,-45,205,250,614,808,75.99,陳芳善,無
桃園市大溪區仁和里,431,876,445,1228,1654,74.24,黃賴裕,無
桃園市大溪區仁善里,142,953,811,1121,1551,72.28,曲煥朋,無
桃園市大溪區仁愛里,551,974,423,976,1340,72.84,藍英中,無
桃園市大溪區仁文里,249,677,428,875,1303,67.15,巫村田,中國國民黨
桃園市大溪區仁武里,-68,522,590,1146,1588,72.17,邱詠峻,無
桃園市大溪區仁美里,-1,607,608,672,970,69.28,曾月娥,中國國民黨
桃園市大溪區仁義里,-218,354,572,954,1435,66.48,張振源,無
桃園市大溪區僑愛里,7,354,347,898,1178,76.23,陳品謙,無
桃園市大溪區光明里,-187,339,526,834,1314,63.47,黃永龍,無
桃園市大溪區南興里,331,793,462,886,1227,72.21,楊成雙,無
桃園市大溪區員林里,-300,272,572,1111,1645,67.54,尤連慶,無
桃園市大溪區康安里,-534,162,696,919,1238,74.23,廖學淵,無
桃園市大溪區復興里,-364,110,474,584,837,69.77,邱焯勳,無
桃園市大溪區新峰里,-267,78,345,529,762,69.42,林信宏,無
桃園市大溪區月眉里,-409,168,577,865,1198,72.20,黃文中,無
桃園市大溪區永福里,-367,106,473,653,914,71.44,廖芊樺,無
桃園市大溪區瑞源里,-22,575,597,897,1218,73.65,江朝陽,無
桃園市大溪區瑞興里,-245,345,590,965,1339,72.07,林瑞興,無
桃園市大溪區田心里,-40,661,701,1092,1476,73.98,游秋蓉,無
桃園市大溪區福仁里,-421,129,550,709,939,75.51,黃春成,無
桃園市大溪區福安里,-148,239,387,865,1248,69.31,許漢宗,無
桃園市大溪區美華里,234,438,204,827,1123,73.64,徐曉宣,無
桃園市大溪區義和里,4,202,198,802,1071,74.88,李瑞山,無
桃園市大溪區興和里,-401,202,603,1010,1365,73.99,邱財榮,無
桃園市平鎮區中正里,-234,290,524,1244,1642,75.76,孫右義,中國國民黨
桃園市平鎮區北勢里,-274,409,683,764,1008,75.79,張寶鈿,無
桃園市平鎮區北安里,9,262,253,581,773,75.16,徐列舜,無
桃園市平鎮區北富里,201,673,472,932,1244,74.92,游振乾,無
桃園市平鎮區北興里,18,690,672,746,953,78.28,莊訓城,中國國民黨
桃園市平鎮區北華里,264,781,517,988,1238,79.81,鄧爕墩,無
桃園市平鎮區北貴里,331,735,404,910,1184,76.86,張寶珠,無
桃園市平鎮區南勢里,493,1103,610,1125,1513,74.36,林德忠,無
桃園市平鎮區宋屋里,286,863,577,1005,1366,73.57,魏寶蘭,無
桃園市平鎮區山峰里,-26,367,393,726,1029,70.55,曾毓海,無
桃園市平鎮區平南里,1047,1503,456,975,1341,72.71,江珮瑩,無
桃園市平鎮區平安里,759,1113,354,1112,1432,77.65,林志癸,無
桃園市平鎮區平興里,756,1141,385,974,1323,73.62,王煥恕,無
桃園市平鎮區平鎮里,360,816,456,1013,1414,71.64,王耀棟,無
桃園市平鎮區廣仁里,215,671,456,1022,1415,72.23,歐文昌,無
桃園市平鎮區廣興里,483,991,508,982,1294,75.89,吳明香,無
桃園市平鎮區廣達里,397,819,422,1050,1405,74.73,黃坤圳,無
桃園市平鎮區建安里,109,733,624,933,1220,76.48,葉姜双鳳,無
桃園市平鎮區復旦里,786,1154,368,973,1248,77.96,陳振華,無
桃園市平鎮區復興里,544,965,421,936,1253,74.70,彭恭偉,無
桃園市平鎮區忠貞里,-39,304,343,1086,1458,74.49,尹黃愛紅,中國國民黨
桃園市平鎮區新勢里,283,662,379,804,1122,71.66,李金興,無
桃園市平鎮區新安里,364,764,400,1098,1491,73.64,葉佳凌,無
桃園市平鎮區新富里,644,1129,485,831,2358,35.24,梁瑞其,無
桃園市平鎮區新榮里,522,986,464,981,1236,79.37,鄧秀真,無
桃園市平鎮區新英里,268,821,553,891,1213,73.45,秦耀舜,無
桃園市平鎮區新貴里,-1,556,557,1105,1481,74.61,劉玉蓮,無
桃園市平鎮區東勢里,480,930,450,835,1177,70.94,魏道榮,無
桃園市平鎮區東安里,33,483,450,946,1353,69.92,徐德華,無
桃園市平鎮區東社里,43,499,456,1167,1618,72.13,陳武平,無
桃園市平鎮區湧光里,418,880,462,916,1259,72.76,黃志仁,無
桃園市平鎮區湧安里,512,908,396,1151,1580,72.85,張鶴騰,無
桃園市平鎮區湧豐里,-161,293,454,664,912,72.81,陳上建,無
桃園市平鎮區福林里,24,670,646,709,980,72.35,彭士益,台灣民眾黨
桃園市平鎮區義民里,763,1010,247,987,1340,73.66,鍾國源,無
桃園市平鎮區義興里,715,1282,567,977,1274,76.69,詹瑞梅,無
桃園市平鎮區莊敬里,410,836,426,1010,1432,70.53,邱堡櫻,無
桃園市平鎮區華安里,30,687,657,911,1329,68.55,王可仁,中國國民黨
桃園市平鎮區貿易里,-159,341,500,734,952,77.10,宋子毅,無
桃園市平鎮區金星里,895,1521,626,1012,1401,72.23,程明泉,無
桃園市平鎮區金陵里,45,553,508,1092,1385,78.84,莊育勝,無
桃園市平鎮區鎮興里,-314,535,849,985,1371,71.85,黃志杰,無
桃園市平鎮區雙連里,394,815,421,1104,1543,71.55,賴沛承,無
桃園市平鎮區高雙里,350,835,485,1353,1778,76.10,袁鳳珠,無
桃園市平鎮區龍恩里,61,515,454,991,1396,70.99,胡李聰明,無
桃園市平鎮區龍興里,-399,385,784,921,1289,71.45,許金新,無
桃園市復興區三光里,-194,74,268,405,714,56.72,陳惠陵,無
桃園市復興區三民里,-455,230,685,728,1040,70.00,薛榮裕,無
桃園市復興區奎輝里,-205,88,293,472,733,64.39,李香蘭,無
桃園市復興區澤仁里,-691,162,853,906,1464,61.89,陽國禎,無
桃園市復興區羅浮里,-275,147,422,709,1116,63.53,王國治,無
桃園市復興區義盛里,-388,83,471,475,758,62.66,王曉貞,無
桃園市復興區華陵里,-164,115,279,733,1286,57.00,梁雅惠,無
桃園市復興區長興里,-187,80,267,383,658,58.21,黃民,無
桃園市復興區霞雲里,-202,89,291,439,694,63.26,洪明德,無
桃園市復興區高義里,-197,77,274,422,794,53.15,姜裕福,無
桃園市新屋區下埔里,-176,111,287,551,706,78.05,黃量煌,無
桃園市新屋區下田里,-725,234,959,1220,1719,70.97,黃福禮,無
桃園市新屋區九斗里,33,353,320,893,1221,73.14,彭勝康,無
桃園市新屋區埔頂里,-225,412,637,908,1222,74.30,李美玉,無
桃園市新屋區大坡里,-297,167,464,918,1307,70.24,陳俊良,無
桃園市新屋區後庄里,-510,147,657,778,1053,73.88,姜吉隆,無
桃園市新屋區後湖里,-314,233,547,1066,1444,73.82,徐玉春,無
桃園市新屋區新屋里,-283,442,725,1041,1394,74.68,徐智遠,無
桃園市新屋區新生里,-22,750,772,1000,1367,73.15,彭煥鈿,無
桃園市新屋區望間里,-468,168,636,969,1322,73.30,彭勝來,無
桃園市新屋區東明里,-387,246,633,1077,1425,75.58,姜義泉,無
桃園市新屋區槺榔里,-288,136,424,718,1024,70.12,羅鴻霖,無
桃園市新屋區永安里,-202,336,538,602,797,75.53,郭先彰,無
桃園市新屋區永興里,-305,133,438,740,1016,72.83,葉國傑,無
桃園市新屋區深圳里,-195,66,261,472,608,77.63,李子維,無
桃園市新屋區清華里,213,695,482,1083,1481,73.13,謝浩來,無
桃園市新屋區石牌里,-343,134,477,652,886,73.59,劉得亮,無
桃園市新屋區石磊里,59,392,333,821,1187,69.17,羅鴻來,無
桃園市新屋區社子里,-331,186,517,993,1312,75.69,楊品潔,無
桃園市新屋區笨港里,-284,137,421,738,1017,72.57,黃建興,無
桃園市新屋區蚵間里,-245,135,380,635,895,70.95,彭小林,無
桃園市新屋區赤欄里,-248,203,451,940,1293,72.70,彭成泉,無
桃園市新屋區頭洲里,101,786,685,790,1114,70.92,姜歐秀美,無
桃園市桃園區三元里,118,761,643,948,1328,71.39,陳章立,無
桃園市桃園區三民里,16,736,720,1012,1346,75.19,康進旺,無
桃園市桃園區中信里,424,939,515,951,1304,72.93,王震宇,無
桃園市桃園區中原里,163,884,721,1196,1605,74.52,王秀璞,無
桃園市桃園區中和里,-482,192,674,936,1277,73.30,許水來,無
桃園市桃園區中埔里,302,708,406,1694,2268,74.69,陳訓誠,無
桃園市桃園區中寧里,417,1142,725,1062,1486,71.47,陳明輝,無
桃園市桃園區中山里,861,1291,430,1218,1629,74.77,張國輝,無
桃園市桃園區中平里,88,822,734,1048,1480,70.81,顏秀錦,無
桃園市桃園區中德里,615,1139,524,964,1297,74.33,蔡秀星,無
桃園市桃園區中成里,782,1299,517,832,1103,75.43,姜明月,無
桃園市桃園區中正里,946,1468,522,1116,1497,74.55,賴莉莉,無
桃園市桃園區中泰里,244,741,497,1127,1469,76.72,陳信棠,無
桃園市桃園區中聖里,219,931,712,917,1364,67.23,崔美瑛,無
桃園市桃園區中興里,503,1034,531,1093,1467,74.51,游進福,無
桃園市桃園區中路里,90,717,627,1042,1350,77.19,温麗芳,無
桃園市桃園區信光里,793,1252,459,954,1283,74.36,胡富景,無
桃園市桃園區光興里,-58,707,765,1089,1497,72.75,邱秀,無
桃園市桃園區北埔里,386,859,473,1119,1569,71.32,何明來,無
桃園市桃園區北門里,-706,246,952,1218,1679,72.54,蕭國章,無
桃園市桃園區南埔里,277,1039,762,1453,1957,74.25,張寶鑾,無
桃園市桃園區南華里,-525,168,693,933,1304,71.55,林獻堂,無
桃園市桃園區南門里,270,1056,786,877,1187,73.88,吳宏泰,無
桃園市桃園區同安里,1319,1730,411,1209,1673,72.27,游淑峯,無
桃園市桃園區同德里,369,1139,770,1110,1552,71.52,張秀好,無
桃園市桃園區大有里,716,1279,563,1050,1522,68.99,陳姵樺,無
桃園市桃園區大林里,885,1355,470,904,1261,71.69,牛阡源,中國國民黨
桃園市桃園區大業里,494,972,478,1305,1735,75.22,陳吉發,無
桃園市桃園區大樹里,403,648,245,1015,1445,70.24,孫偉祥,無
桃園市桃園區大興里,450,835,385,768,1241,61.89,高承洋,無
桃園市桃園區大豐里,357,842,485,1069,1500,71.27,呂學智,無
桃園市桃園區寶安里,912,1508,596,1151,1557,73.92,陳月花,中國國民黨
桃園市桃園區寶山里,29,722,693,1063,1517,70.07,黃寬量,無
桃園市桃園區寶慶里,734,1240,506,1097,1495,73.38,丁柔淳,無
桃園市桃園區寶民里,383,768,385,986,1404,70.23,徐秋傑,無
桃園市桃園區建國里,430,819,389,885,1236,71.60,徐揚帆,無
桃園市桃園區忠義里,319,628,309,1283,1823,70.38,陳淑珮,無
桃園市桃園區慈文里,334,1125,791,1225,1729,70.85,錡春發,無
桃園市桃園區成功里,-84,638,722,809,1087,74.43,李秀蓮,中國國民黨
桃園市桃園區文中里,535,1373,838,1164,1472,79.08,陳武卿,無
桃園市桃園區文化里,-382,192,574,816,1064,76.69,歐陽瀚,無
桃園市桃園區文昌里,-189,106,295,557,728,76.51,王珉南,無
桃園市桃園區文明里,-587,249,836,1096,1493,73.41,朱國銘,無
桃園市桃園區新埔里,233,857,624,1260,1653,76.23,李珮瑜,無
桃園市桃園區明德里,86,545,459,1070,1486,72.01,陳郁君,無
桃園市桃園區春日里,757,1138,381,1054,1458,72.29,簡郁陞,無
桃園市桃園區會稽里,156,674,518,931,1331,69.95,鄭麗花,中國國民黨
桃園市桃園區朝陽里,-4,291,295,746,1011,73.79,卓正斌,無
桃園市桃園區東埔里,71,783,712,1277,1808,70.63,江慶尚,無
桃園市桃園區東山里,-147,301,448,709,964,73.55,游文章,無
桃園市桃園區東門里,-99,483,582,1053,1501,70.15,徐順欽,中國國民黨
桃園市桃園區檜樂里,799,1135,336,1033,1442,71.64,莊蔡枝蓮,無
桃園市桃園區武陵里,-196,230,426,1072,1674,64.04,謝翔安,無
桃園市桃園區民生里,-76,270,346,1235,1696,72.82,劉恩伸,無
桃園市桃園區永安里,339,819,480,1010,1392,72.56,莊育達,無
桃園市桃園區永興里,-680,294,974,1256,1799,69.82,葉昆展,無
桃園市桃園區汴洲里,772,1477,705,1123,1524,73.69,楊鑫坤,無
桃園市桃園區泰山里,-17,584,601,891,1195,74.56,游輝居,無
桃園市桃園區玉山里,229,789,560,1063,1386,76.70,林于翔,無
桃園市桃園區瑞慶里,395,1060,665,1019,1566,65.07,黃欣韻,無
桃園市桃園區福元里,206,944,738,1151,1523,75.57,楊瑞麟,無
桃園市桃園區福安里,84,599,515,892,1236,72.17,鄭西元,無
桃園市桃園區福林里,435,983,548,1036,1356,76.40,李瑞航,無
桃園市桃園區經國里,479,969,490,1137,1573,72.28,陳俊豪,無
桃園市桃園區自強里,917,1377,460,1341,1816,73.84,楊順益,無
桃園市桃園區莊敬里,786,1564,778,1035,1505,68.77,高淞泰,無
桃園市桃園區萬壽里,-358,127,485,628,909,69.09,張桃,無
桃園市桃園區西埔里,114,534,420,713,940,75.85,呂春琪,無
桃園市桃園區西湖里,-516,186,702,1005,1369,73.41,呂淑靜,無
桃園市桃園區西門里,-670,287,957,1209,1752,69.01,陳美卿,中國國民黨
桃園市桃園區豐林里,491,970,479,1206,1606,75.09,簡士強,無
桃園市桃園區長安里,-361,527,888,1185,1641,72.21,陳俊亨,無
桃園市桃園區長德里,223,806,583,879,1193,73.68,雷淑華,無
桃園市桃園區長美里,-202,132,334,697,996,69.98,林秀貞,無
桃園市桃園區雲林里,215,1052,837,999,1367,73.08,翁渭業,無
桃園市桃園區青溪里,589,1071,482,1263,1690,74.73,黃慈諭,無
桃園市桃園區龍壽里,764,1365,601,1154,1585,72.81,張玉華,無
桃園市桃園區龍安里,531,1169,638,1102,1498,73.56,蕭卉君,無
桃園市桃園區龍山里,325,557,232,750,1106,67.81,林曾麗環,中國國民黨
桃園市桃園區龍岡里,615,1012,397,1035,1451,71.33,蕭愛圓,無
桃園市桃園區龍祥里,167,932,765,1154,1620,71.23,李玲娟,中國國民黨
桃園市桃園區龍鳳里,994,1441,447,1153,1573,73.30,賀光卍,無
桃園市楊梅區三民里,-106,654,760,1202,1618,74.29,黃金枝,無
桃園市楊梅區三湖里,29,539,510,1038,1435,72.33,張修源,無
桃園市楊梅區上湖里,828,1199,371,1208,1653,73.08,張花樑,無
桃園市楊梅區上田里,20,524,504,1048,1418,73.91,温安章,無
桃園市楊梅區中山里,-57,593,650,1260,1621,77.73,黃朱秀娥,無
桃園市楊梅區仁美里,96,605,509,855,1222,69.97,花國章,無
桃園市楊梅區光華里,-224,480,704,1034,1463,70.68,徐逢漳,中國國民黨
桃園市楊梅區員本里,-205,498,703,1178,1679,70.16,陳奕霖,無
桃園市楊梅區四維里,254,1056,802,1184,1562,75.80,羅文明,中國國民黨
桃園市楊梅區埔心里,-443,195,638,1034,1309,78.99,張仁森,無
桃園市楊梅區大同里,-165,644,809,1250,1698,73.62,謝伯鴻,無
桃園市楊梅區大平里,-28,494,522,1049,1507,69.61,范姜閔,無
桃園市楊梅區富岡里,-2,297,299,684,909,75.25,劉家聲,無
桃園市楊梅區富豐里,0,521,521,1123,1530,73.40,徐石全,無
桃園市楊梅區新榮里,-121,643,764,1303,1706,76.38,林子齡,無
桃園市楊梅區東流里,240,476,236,1226,1785,68.68,劉定唐,無
桃園市楊梅區梅新里,27,289,262,649,904,71.79,范姜彬鈔,無
桃園市楊梅區梅溪里,261,896,635,1041,1415,73.57,吳錦鴻,無
桃園市楊梅區楊明里,1416,1906,490,1134,1599,70.92,鍾能錦,無
桃園市楊梅區楊梅里,354,720,366,1042,1411,73.85,葉星秀,無
桃園市楊梅區楊江里,-199,182,381,773,1044,74.04,葉春蘭,無
桃園市楊梅區水美里,361,748,387,1098,1448,75.83,許霖雙,無
桃園市楊梅區永寧里,771,1366,595,1005,2206,45.56,張乾坤,無
桃園市楊梅區永平里,21,405,384,645,976,66.09,陶其瑞,無
