登記日期,登記之選舉區,姓名,性別,推薦之政黨,受理登記機關,備註,id,zone
2023/11/20,"臺北市 > 第03選區",陳源發,男,無,臺北市選舉委員會,,64488f4b-95b4-43b4-ab1f-4c3d0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第03選區[區域]"
2023/11/20,"臺北市 > 第05選區",于美人,女,無,臺北市選舉委員會,,64488fdc-77f0-4cdf-9414-4a7c0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第05選區[區域] "
2023/11/20,"臺北市 > 第05選區",吳沛憶,女,民主進步黨,臺北市選舉委員會,,64488fdc-77f0-4cdf-9414-4a7c0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第05選區[區域] "
2023/11/20,"臺北市 > 第05選區",林志成,男,無,臺北市選舉委員會,,64488fdc-77f0-4cdf-9414-4a7c0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第05選區[區域] "
2023/11/20,"臺北市 > 第06選區",羅智強,男,中國國民黨,臺北市選舉委員會,,64488ffc-8aec-4ffa-9653-434c0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第06選區[區域]"
2023/11/20,"臺北市 > 第07選區",徐巧芯,女,中國國民黨,臺北市選舉委員會,,6448900a-f368-4103-a042-484e0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第07選區[區域]"
2023/11/20,"新北市 > 第02選區",李有宜,女,台灣民眾黨,新北市選舉委員會,,6453026d-b024-4b23-b237-437b0a8c0008,"2024-01 > 立法委員 > 新北市 > 第02選區[區域]"
2023/11/20,"新北市 > 第03選區",李坤城,男,民主進步黨,新北市選舉委員會,,645302c5-5e7c-4243-b8c8-4b880a8c0008,"2024-01 > 立法委員 > 新北市 > 第03選區[區域]"
2023/11/20,"新北市 > 第04選區",吳秉叡,男,民主進步黨,新北市選舉委員會,,645302d2-6804-44fc-bd33-4f130a8c0008,"2024-01 > 立法委員 > 新北市 > 第04選區[區域]"
2023/11/20,"新北市 > 第05選區",蘇巧慧,女,民主進步黨,新北市選舉委員會,,645302e3-d650-428f-8fdc-45bc0a8c0008,"2024-01 > 立法委員 > 新北市 > 第05選區[區域]"
2023/11/20,"新北市 > 第06選區",張宏陸,男,民主進步黨,新北市選舉委員會,,645302f3-ba58-4bcd-b441-4eea0a8c0008,"2024-01 > 立法委員 > 新北市 > 第06選區[區域]"
2023/11/20,"新北市 > 第06選區",黃淑珍,女,司法改革黨,新北市選舉委員會,,645302f3-ba58-4bcd-b441-4eea0a8c0008,"2024-01 > 立法委員 > 新北市 > 第06選區[區域]"
2023/11/20,"新北市 > 第08選區",張智倫,男,中國國民黨,新北市選舉委員會,,64530358-4fa8-4f41-9869-48160a8c0008,"2024-01 > 立法委員 > 新北市 > 第08選區[區域]"
2023/11/20,"新北市 > 第08選區",吳崢,男,民主進步黨,新北市選舉委員會,,64530358-4fa8-4f41-9869-48160a8c0008,"2024-01 > 立法委員 > 新北市 > 第08選區[區域]"
2023/11/20,"新北市 > 第09選區",林德福,男,中國國民黨,新北市選舉委員會,,6453036c-55bc-4bfc-8519-4ad80a8c0008,"2024-01 > 立法委員 > 新北市 > 第09選區[區域]"
2023/11/20,"新北市 > 第10選區",袁興,男,無,新北市選舉委員會,,6453033e-b8e4-46f4-b1de-4fe00a8c0008,"2024-01 > 立法委員 > 新北市 > 第10選區[區域]"
2023/11/20,"新北市 > 第11選區",曾柏瑜,女,民主進步黨,新北市選舉委員會,,645302a5-7aa8-483f-8d20-442b0a8c0008,"2024-01 > 立法委員 > 新北市 > 第11選區[區域]"
2023/11/20,"新北市 > 第11選區",陳聖,男,中華婦女黨,新北市選舉委員會,,645302a5-7aa8-483f-8d20-442b0a8c0008,"2024-01 > 立法委員 > 新北市 > 第11選區[區域]"
