登記日期,登記之選舉區,姓名,性別,推薦之政黨,受理登記機關,備註,id,zone
2023/11/20,"桃園市 > 第03選區",游智彬,男,新黨,桃園市選舉委員會,,645306aa-29c4-4e1b-983e-482f0a8c0008,"2024-01 > 立法委員 > 桃園市 > 第03選區[區域]"
2023/11/20,"桃園市 > 第03選區",彭俊豪,男,民主進步黨,桃園市選舉委員會,,645306aa-29c4-4e1b-983e-482f0a8c0008,"2024-01 > 立法委員 > 桃園市 > 第03選區[區域]"
2023/11/20,"桃園市 > 第05選區",劉仁照,男,民主進步黨,桃園市選舉委員會,,645306c6-a774-406a-bbb3-4acd0a8c0008,"2024-01 > 立法委員 > 桃園市 > 第05選區[區域]"
2023/11/20,"桃園市 > 第06選區",葉堂宇,男,無,桃園市選舉委員會,,64530688-e248-4cba-9d7e-48080a8c0008,"2024-01 > 立法委員 > 桃園市 > 第06選區[區域]"
2023/11/20,"臺中市 > 第05選區",莊競程,男,民主進步黨,臺中市選舉委員會,,6453073a-8514-48e4-8bf7-429a0a8c0008,"2024-01 > 立法委員 > 臺中市 > 第05選區[區域]"
2023/11/20,"臺中市 > 第05選區",苗豐隆,男,無,臺中市選舉委員會,,6453073a-8514-48e4-8bf7-429a0a8c0008,"2024-01 > 立法委員 > 臺中市 > 第05選區[區域]"
2023/11/20,"臺南市 > 第01選區",侯陸太,男,無,臺南市選舉委員會,,6453075e-98a0-4a15-bc89-420e0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第01選區[區域]"
2023/11/20,"臺南市 > 第01選區",魏耀乾,男,無,臺南市選舉委員會,,6453075e-98a0-4a15-bc89-420e0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第01選區[區域]"
2023/11/20,"臺南市 > 第01選區",賴惠員,女,民主進步黨,臺南市選舉委員會,,6453075e-98a0-4a15-bc89-420e0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第01選區[區域]"
2023/11/20,"臺南市 > 第03選區",陳亭妃,女,民主進步黨,臺南市選舉委員會,,64530773-3b5c-4c51-993b-4c530a8c0008,"2024-01 > 立法委員 > 臺南市 > 第03選區[區域]"
2023/11/20,"臺南市 > 第06選區",陳永和,男,無,臺南市選舉委員會,,64530754-74f4-49e7-ba4c-4e3a0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第06選區[區域]"
2023/11/20,"高雄市 > 第01選區",邱議瑩,女,民主進步黨,高雄市選舉委員會,,64530607-7b44-4caf-9d77-48280a8c0008,"2024-01 > 立法委員 > 高雄市 > 第01選區[區域]"
2023/11/20,"高雄市 > 第02選區",邱志偉,男,民主進步黨,高雄市選舉委員會,,64530622-fb6c-40fe-9433-4e9c0a8c0008,"2024-01 > 立法委員 > 高雄市 > 第02選區[區域]"
2023/11/20,"高雄市 > 第04選區",林岱樺,女,民主進步黨,高雄市選舉委員會,,64530638-bf9c-4189-8f57-4f960a8c0008,"2024-01 > 立法委員 > 高雄市 > 第04選區[區域]"
2023/11/20,"高雄市 > 第06選區",黃捷,女,民主進步黨,高雄市選舉委員會,,6453065f-fc84-4dbd-b6f4-42aa0a8c0008,"2024-01 > 立法委員 > 高雄市 > 第06選區[區域]"
2023/11/20,"高雄市 > 第08選區",湛秀英,女,勞動黨,高雄市選舉委員會,,64530617-404c-4589-ae82-49b80a8c0008,"2024-01 > 立法委員 > 高雄市 > 第08選區[區域]"
2023/11/20,"高雄市 > 第08選區",賴瑞隆,男,民主進步黨,高雄市選舉委員會,,64530617-404c-4589-ae82-49b80a8c0008,"2024-01 > 立法委員 > 高雄市 > 第08選區[區域]"
2023/11/20,"新竹縣 > 第01選區",詹紀緹,女,民主進步黨,新竹縣選舉委員會,,6453041e-f160-4687-992d-4b280a8c0008,"2024-01 > 立法委員 > 新竹縣 > 第01選區[區域]"
2023/11/20,"新竹縣 > 第02選區",曾聖凱,男,民主進步黨,新竹縣選舉委員會,,6453042a-9134-4e5b-abb3-40450a8c0008,"2024-01 > 立法委員 > 新竹縣 > 第02選區[區域]"
2023/11/20,"新竹縣 > 第02選區",林思銘,男,中國國民黨,新竹縣選舉委員會,,6453042a-9134-4e5b-abb3-40450a8c0008,"2024-01 > 立法委員 > 新竹縣 > 第02選區[區域]"
2023/11/20,"苗栗縣 > 第01選區",陳超明,男,無,苗栗縣選舉委員會,,645304fd-d604-4b5d-a73b-42830a8c0008,"2024-01 > 立法委員 > 苗栗縣 > 第01選區[區域]"
2023/11/20,"彰化縣 > 第03選區",洪建興,男,無,彰化縣選舉委員會,,6436de29-81b4-41bc-ab7f-48a40a8c0008,"2024-01 > 立法委員 > 彰化縣 > 第03選區[區域]"
2023/11/20,"彰化縣 > 第04選區",陳素月,女,民主進步黨,彰化縣選舉委員會,,6436de39-15f4-4579-9ed5-42090a8c0008,"2024-01 > 立法委員 > 彰化縣 > 第04選區[區域]"
2023/11/20,"南投縣 > 第01選區",蔡銘軒,男,民主進步黨,南投縣選舉委員會,,6436dbf2-3ef4-4835-a850-48f60a8c0008,"2024-01 > 立法委員 > 南投縣 > 第01選區[區域]"
2023/11/20,"南投縣 > 第02選區",游顥,男,中國國民黨,南投縣選舉委員會,,6436ddbb-3ad0-4348-ad72-4f280a8c0008,"2024-01 > 立法委員 > 南投縣 > 第02選區[區域]"
2023/11/20,"雲林縣 > 第01選區",李昭儀,女,台灣革命黨,雲林縣選舉委員會,,6453044b-b230-425d-9983-4afd0a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第01選區[區域]"
2023/11/20,"雲林縣 > 第01選區",丁學忠,男,中國國民黨,雲林縣選舉委員會,,6453044b-b230-425d-9983-4afd0a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第01選區[區域]"
2023/11/20,"雲林縣 > 第01選區",蘇治芬,女,民主進步黨,雲林縣選舉委員會,,6453044b-b230-425d-9983-4afd0a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第01選區[區域]"
2023/11/20,"雲林縣 > 第02選區",邱良閱,男,中國國民黨,雲林縣選舉委員會,,64530459-f63c-4c50-af66-4bf10a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第02選區[區域]"
2023/11/20,"嘉義縣 > 第01選區",蔡易餘,男,民主進步黨,嘉義縣選舉委員會,,6453022d-ce70-43ab-bff5-4efb0a8c0008,"2024-01 > 立法委員 > 嘉義縣 > 第01選區[區域]"
2023/11/20,"嘉義縣 > 第02選區",陳冠廷,男,民主進步黨,嘉義縣選舉委員會,,6453023d-50a0-4d97-bca6-4d130a8c0008,"2024-01 > 立法委員 > 嘉義縣 > 第02選區[區域]"
2023/11/20,"屏東縣 > 第01選區",蔣月惠,女,無,屏東縣選舉委員會,,64530499-1418-4f76-b7fa-4b890a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第01選區[區域]"
2023/11/20,"屏東縣 > 第02選區",蘇孟淳,男,無,屏東縣選舉委員會,,645304a9-d4b4-4cf9-866f-4a9f0a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第02選區[區域]"
2023/11/20,"屏東縣 > 第02選區",吳媚宮,女,中華聯合黨,屏東縣選舉委員會,,645304a9-d4b4-4cf9-866f-4a9f0a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第02選區[區域]"
2023/11/20,宜蘭縣,陳俊宇,男,民主進步黨,宜蘭縣選舉委員會,,64530471-8e1c-49c4-955a-4a370a8c0008,"2024-01 > 立法委員 > 宜蘭縣 > 第01選區[區域]"
2023/11/20,花蓮縣,許願神,男,無,花蓮縣選舉委員會,,645303de-8c48-4e16-adba-47270a8c0008,"2024-01 > 立法委員 > 花蓮縣 > 第01選區[區域]"
2023/11/20,臺東縣,賴坤成,男,民主進步黨,臺東縣選舉委員會,,645303ef-ce60-4e4a-92b7-4a660a8c0008,"2024-01 > 立法委員 > 臺東縣 > 第01選區[區域]"
2023/11/20,臺東縣,黃婉茹,女,小民參政歐巴桑聯盟,臺東縣選舉委員會,,645303ef-ce60-4e4a-92b7-4a660a8c0008,"2024-01 > 立法委員 > 臺東縣 > 第01選區[區域]"
2023/11/20,澎湖縣,陳慧娟,女,無,澎湖縣選舉委員會,,645304d4-ea10-4f6e-a26e-41320a8c0008,"2024-01 > 立法委員 > 澎湖縣 > 第01選區[區域]"
2023/11/20,澎湖縣,吳政杰,男,中國國民黨,澎湖縣選舉委員會,,645304d4-ea10-4f6e-a26e-41320a8c0008,"2024-01 > 立法委員 > 澎湖縣 > 第01選區[區域]"
2023/11/20,金門縣,陳玉珍,女,中國國民黨,金門縣選舉委員會,,645305e0-07c8-4a05-9f71-45090a8c0008,"2024-01 > 立法委員 > 金門縣 > 第01選區[區域]"
2023/11/20,連江縣,李問,男,民主進步黨,連江縣選舉委員會,,645305cf-9c20-42b8-9174-49d90a8c0008,"2024-01 > 立法委員 > 連江縣 > 第01選區[區域]"
2023/11/20,基隆市,鄭文婷,女,民主進步黨,基隆市選舉委員會,,64530251-e958-47f0-b4d6-4f9e0a8c0008,"2024-01 > 立法委員 > 基隆市 > 第01選區[區域]"
2023/11/20,基隆市,黃傑陽,男,無,基隆市選舉委員會,,64530251-e958-47f0-b4d6-4f9e0a8c0008,"2024-01 > 立法委員 > 基隆市 > 第01選區[區域]"
2023/11/20,新竹市,柯美蘭,女,無,新竹市選舉委員會,,6453040c-0ea0-4775-af74-444c0a8c0008,"2024-01 > 立法委員 > 新竹市 > 第01選區[區域]"
2023/11/20,新竹市,鄭正鈐,男,中國國民黨,新竹市選舉委員會,,6453040c-0ea0-4775-af74-444c0a8c0008,"2024-01 > 立法委員 > 新竹市 > 第01選區[區域]"
2023/11/20,新竹市,林志潔,女,民主進步黨,新竹市選舉委員會,,6453040c-0ea0-4775-af74-444c0a8c0008,"2024-01 > 立法委員 > 新竹市 > 第01選區[區域]"
2023/11/20,嘉義市,張秀華,女,中國國民黨,嘉義市選舉委員會,,645301af-c69c-494d-86ab-4f970a8c0008,"2024-01 > 立法委員 > 嘉義市 > 第01選區[區域]"
2023/11/20,嘉義市,陳玥妗,女,小民參政歐巴桑聯盟,嘉義市選舉委員會,,645301af-c69c-494d-86ab-4f970a8c0008,"2024-01 > 立法委員 > 嘉義市 > 第01選區[區域]"
2023/11/21,"臺北市 > 第01選區",陳執中,男,臺灣雙語無法黨,臺北市選舉委員會,,64488f2e-bc54-4975-a968-460f0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第01選區[區域]"
2023/11/21,"臺北市 > 第01選區",許盛鋒,男,無,臺北市選舉委員會,,64488f2e-bc54-4975-a968-460f0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第01選區[區域]"
2023/11/21,"臺北市 > 第03選區",陳一郎,男,臺灣雙語無法黨,臺北市選舉委員會,,64488f4b-95b4-43b4-ab1f-4c3d0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第03選區[區域]"
2023/11/21,"臺北市 > 第04選區",林秋彤,女,台灣整復師聯盟工黨,臺北市選舉委員會,,64488fa4-9c24-4970-9b17-464d0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第04選區[區域]"
2023/11/21,"臺北市 > 第06選區",崔建章,男,臺灣雙語無法黨,臺北市選舉委員會,,64488ffc-8aec-4ffa-9653-434c0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第06選區[區域]"
2023/11/21,"臺北市 > 第07選區",李承龍,男,中華愛國同心黨,臺北市選舉委員會,,6448900a-f368-4103-a042-484e0a8c0008,"2024-01 > 立法委員 > 臺北市 > 第07選區[區域]"
2023/11/21,"臺北市 > 第08選區",王閔生,男,民主進步黨,臺北市選舉委員會,,64488fb7-a3e8-4ee2-b661-48a80a8c0008,"2024-01 > 立法委員 > 臺北市 > 第08選區[區域]"
2023/11/21,"臺北市 > 第08選區",夏萬浪,男,無,臺北市選舉委員會,,64488fb7-a3e8-4ee2-b661-48a80a8c0008,"2024-01 > 立法委員 > 臺北市 > 第08選區[區域]"
2023/11/21,"臺北市 > 第08選區",胡之壯,男,興中同盟會,臺北市選舉委員會,,64488fb7-a3e8-4ee2-b661-48a80a8c0008,"2024-01 > 立法委員 > 臺北市 > 第08選區[區域]"
2023/11/21,"臺北市 > 第08選區",賴宣任,女,小民參政歐巴桑聯盟,臺北市選舉委員會,,64488fb7-a3e8-4ee2-b661-48a80a8c0008,"2024-01 > 立法委員 > 臺北市 > 第08選區[區域]"
2023/11/21,"新北市 > 第01選區",洪孟楷,男,中國國民黨,新北市選舉委員會,,64530261-0040-406f-b6b6-4f2c0a8c0008,"2024-01 > 立法委員 > 新北市 > 第01選區[區域]"
2023/11/21,"新北市 > 第01選區",翁藤原,男,中華統一促進黨,新北市選舉委員會,,64530261-0040-406f-b6b6-4f2c0a8c0008,"2024-01 > 立法委員 > 新北市 > 第01選區[區域]"
2023/11/21,"新北市 > 第03選區",陳東雲,男,無,新北市選舉委員會,,645302c5-5e7c-4243-b8c8-4b880a8c0008,"2024-01 > 立法委員 > 新北市 > 第03選區[區域]"
2023/11/21,"新北市 > 第05選區",洪佳君,女,中國國民黨,新北市選舉委員會,,645302e3-d650-428f-8fdc-45bc0a8c0008,"2024-01 > 立法委員 > 新北市 > 第05選區[區域]"
2023/11/21,"新北市 > 第08選區",邱臣遠,男,台灣民眾黨,新北市選舉委員會,,64530358-4fa8-4f41-9869-48160a8c0008,"2024-01 > 立法委員 > 新北市 > 第08選區[區域]"
2023/11/21,"新北市 > 第09選區",莊銘淵,男,民主進步黨,新北市選舉委員會,,6453036c-55bc-4bfc-8519-4ad80a8c0008,"2024-01 > 立法委員 > 新北市 > 第09選區[區域]"
2023/11/21,"新北市 > 第11選區",羅明才,男,中國國民黨,新北市選舉委員會,,645302a5-7aa8-483f-8d20-442b0a8c0008,"2024-01 > 立法委員 > 新北市 > 第11選區[區域]"
2023/11/21,"新北市 > 第12選區",李佳蒨,女,臺灣雙語無法黨,新北市選舉委員會,,645302b5-8a7c-450c-a933-43590a8c0008,"2024-01 > 立法委員 > 新北市 > 第12選區[區域]"
2023/11/21,"桃園市 > 第04選區",萬美玲,女,中國國民黨,桃園市選舉委員會,,645306bb-6dec-45b8-b73a-42b20a8c0008,"2024-01 > 立法委員 > 桃園市 > 第04選區[區域]"
2023/11/21,"桃園市 > 第06選區",趙正宇,男,無,桃園市選舉委員會,,64530688-e248-4cba-9d7e-48080a8c0008,"2024-01 > 立法委員 > 桃園市 > 第06選區[區域]"
2023/11/21,"臺中市 > 第01選區",蔡壁如,女,台灣民眾黨,臺中市選舉委員會,,645306f0-29ac-49f5-b592-4c850a8c0008,"2024-01 > 立法委員 > 臺中市 > 第01選區[區域]"
2023/11/21,"臺中市 > 第01選區",蔡其昌,男,民主進步黨,臺中市選舉委員會,,645306f0-29ac-49f5-b592-4c850a8c0008,"2024-01 > 立法委員 > 臺中市 > 第01選區[區域]"
2023/11/21,"臺中市 > 第02選區",顏寬恒,男,中國國民黨,臺中市選舉委員會,,6453070a-34ec-4d0e-a17c-41280a8c0008,"2024-01 > 立法委員 > 臺中市 > 第02選區[區域]"
2023/11/21,"臺中市 > 第02選區",林靜儀,女,民主進步黨,臺中市選舉委員會,,6453070a-34ec-4d0e-a17c-41280a8c0008,"2024-01 > 立法委員 > 臺中市 > 第02選區[區域]"
2023/11/21,"臺中市 > 第03選區",謝子涵,女,民主進步黨,臺中市選舉委員會,,64530715-51d4-4521-8359-45a80a8c0008,"2024-01 > 立法委員 > 臺中市 > 第03選區[區域]"
2023/11/21,"臺中市 > 第03選區",楊瓊瓔,女,中國國民黨,臺中市選舉委員會,,64530715-51d4-4521-8359-45a80a8c0008,"2024-01 > 立法委員 > 臺中市 > 第03選區[區域]"
2023/11/21,"臺中市 > 第04選區",廖偉翔,男,中國國民黨,臺中市選舉委員會,,6453072e-af08-4208-b9fd-4f250a8c0008,"2024-01 > 立法委員 > 臺中市 > 第04選區[區域]"
2023/11/21,"臺中市 > 第04選區",張廖萬堅,男,民主進步黨,臺中市選舉委員會,,6453072e-af08-4208-b9fd-4f250a8c0008,"2024-01 > 立法委員 > 臺中市 > 第04選區[區域]"
2023/11/21,"臺中市 > 第05選區",黃健豪,男,中國國民黨,臺中市選舉委員會,,6453073a-8514-48e4-8bf7-429a0a8c0008,"2024-01 > 立法委員 > 臺中市 > 第05選區[區域]"
2023/11/21,"臺中市 > 第06選區",羅廷瑋,男,中國國民黨,臺中市選舉委員會,,64530722-2be0-429a-b630-4db80a8c0008,"2024-01 > 立法委員 > 臺中市 > 第06選區[區域]"
2023/11/21,"臺中市 > 第06選區",賀姿華,女,無,臺中市選舉委員會,,64530722-2be0-429a-b630-4db80a8c0008,"2024-01 > 立法委員 > 臺中市 > 第06選區[區域]"
2023/11/21,"臺中市 > 第06選區",紀文清,男,無,臺中市選舉委員會,,64530722-2be0-429a-b630-4db80a8c0008,"2024-01 > 立法委員 > 臺中市 > 第06選區[區域]"
2023/11/21,"臺中市 > 第07選區",林家興,男,中國國民黨,臺中市選舉委員會,,645306fc-e8c8-4b9f-8a84-4b6e0a8c0008,"2024-01 > 立法委員 > 臺中市 > 第07選區[區域]"
2023/11/21,"臺中市 > 第07選區",何欣純,女,民主進步黨,臺中市選舉委員會,,645306fc-e8c8-4b9f-8a84-4b6e0a8c0008,"2024-01 > 立法委員 > 臺中市 > 第07選區[區域]"
2023/11/21,"臺中市 > 第08選區",謝志忠,男,民主進步黨,臺中市選舉委員會,,645306e6-c294-480a-a332-4a040a8c0008,"2024-01 > 立法委員 > 臺中市 > 第08選區[區域]"
2023/11/21,"臺南市 > 第01選區",周宏昌,男,中國國民黨,臺南市選舉委員會,,6453075e-98a0-4a15-bc89-420e0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第01選區[區域]"
2023/11/21,"臺南市 > 第03選區",姚正玉,女,中國國民黨,臺南市選舉委員會,,64530773-3b5c-4c51-993b-4c530a8c0008,"2024-01 > 立法委員 > 臺南市 > 第03選區[區域]"
2023/11/21,"臺南市 > 第04選區",林宜瑾,女,民主進步黨,臺南市選舉委員會,,6453077e-275c-4258-805e-4ea10a8c0008,"2024-01 > 立法委員 > 臺南市 > 第04選區[區域]"
2023/11/21,"臺南市 > 第04選區",劉清田,男,司法改革黨,臺南市選舉委員會,,6453077e-275c-4258-805e-4ea10a8c0008,"2024-01 > 立法委員 > 臺南市 > 第04選區[區域]"
2023/11/21,"臺南市 > 第05選區",林俊憲,男,民主進步黨,臺南市選舉委員會,,64530789-71bc-4370-943d-48210a8c0008,"2024-01 > 立法委員 > 臺南市 > 第05選區[區域]"
2023/11/21,"臺南市 > 第05選區",王家貞,女,中國國民黨,臺南市選舉委員會,,64530789-71bc-4370-943d-48210a8c0008,"2024-01 > 立法委員 > 臺南市 > 第05選區[區域]"
2023/11/21,"臺南市 > 第06選區",王定宇,男,民主進步黨,臺南市選舉委員會,,64530754-74f4-49e7-ba4c-4e3a0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第06選區[區域]"
2023/11/21,"臺南市 > 第06選區",陳以信,男,中國國民黨,臺南市選舉委員會,,64530754-74f4-49e7-ba4c-4e3a0a8c0008,"2024-01 > 立法委員 > 臺南市 > 第06選區[區域]"
2023/11/21,"高雄市 > 第02選區",曹桓榮,男,中國國民黨,高雄市選舉委員會,,64530622-fb6c-40fe-9433-4e9c0a8c0008,"2024-01 > 立法委員 > 高雄市 > 第02選區[區域]"
2023/11/21,"高雄市 > 第03選區",張正達,男,無,高雄市選舉委員會,,6453062d-7568-4bdd-a750-4bc20a8c0008,"2024-01 > 立法委員 > 高雄市 > 第03選區[區域]"
2023/11/21,"高雄市 > 第04選區",陳若翠,女,中國國民黨,高雄市選舉委員會,,64530638-bf9c-4189-8f57-4f960a8c0008,"2024-01 > 立法委員 > 高雄市 > 第04選區[區域]"
2023/11/21,"高雄市 > 第05選區",黃柏霖,男,中國國民黨,高雄市選舉委員會,,64530647-aac8-4ddf-b2b8-4c8f0a8c0008,"2024-01 > 立法委員 > 高雄市 > 第05選區[區域]"
2023/11/21,"高雄市 > 第05選區",李昆澤,男,民主進步黨,高雄市選舉委員會,,64530647-aac8-4ddf-b2b8-4c8f0a8c0008,"2024-01 > 立法委員 > 高雄市 > 第05選區[區域]"
2023/11/21,"高雄市 > 第07選區",王和平統一,男,司法改革黨,高雄市選舉委員會,,64530653-c218-4f81-8206-4fd50a8c0008,"2024-01 > 立法委員 > 高雄市 > 第07選區[區域]"
2023/11/21,"高雄市 > 第07選區",朱磊,男,無,高雄市選舉委員會,,64530653-c218-4f81-8206-4fd50a8c0008,"2024-01 > 立法委員 > 高雄市 > 第07選區[區域]"
2023/11/21,"高雄市 > 第08選區",李政憲,男,司法改革黨,高雄市選舉委員會,,64530617-404c-4589-ae82-49b80a8c0008,"2024-01 > 立法委員 > 高雄市 > 第08選區[區域]"
2023/11/21,"新竹縣 > 第02選區",王婉諭,女,時代力量,新竹縣選舉委員會,,6453042a-9134-4e5b-abb3-40450a8c0008,"2024-01 > 立法委員 > 新竹縣 > 第02選區[區域]"
2023/11/21,"苗栗縣 > 第02選區",曾玟學,男,無,苗栗縣選舉委員會,,6453050f-49ac-43fb-a1ff-43430a8c0008,"2024-01 > 立法委員 > 苗栗縣 > 第02選區[區域]"
2023/11/21,"苗栗縣 > 第02選區",邱鎮軍,男,中國國民黨,苗栗縣選舉委員會,,6453050f-49ac-43fb-a1ff-43430a8c0008,"2024-01 > 立法委員 > 苗栗縣 > 第02選區[區域]"
2023/11/21,"彰化縣 > 第01選區",陳秀寳,女,民主進步黨,彰化縣選舉委員會,,6436de12-0bb0-4703-bf11-4c380a8c0008,"2024-01 > 立法委員 > 彰化縣 > 第01選區[區域]"
2023/11/21,"彰化縣 > 第02選區",黃秀芳,女,民主進步黨,彰化縣選舉委員會,,6436de1f-5c00-444d-b225-448c0a8c0008,"2024-01 > 立法委員 > 彰化縣 > 第02選區[區域]"
2023/11/21,"南投縣 > 第01選區",許文忠,男,勞動黨,南投縣選舉委員會,,6436dbf2-3ef4-4835-a850-48f60a8c0008,"2024-01 > 立法委員 > 南投縣 > 第01選區[區域]"
2023/11/21,"南投縣 > 第02選區",陳癸佑,男,無,南投縣選舉委員會,,6436ddbb-3ad0-4348-ad72-4f280a8c0008,"2024-01 > 立法委員 > 南投縣 > 第02選區[區域]"
2023/11/21,"雲林縣 > 第01選區",吳炳輝,男,無,雲林縣選舉委員會,,6453044b-b230-425d-9983-4afd0a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第01選區[區域]"
2023/11/21,"雲林縣 > 第02選區",劉建國,男,民主進步黨,雲林縣選舉委員會,,64530459-f63c-4c50-af66-4bf10a8c0008,"2024-01 > 立法委員 > 雲林縣 > 第02選區[區域]"
2023/11/21,"嘉義縣 > 第02選區",林國慶,男,無,嘉義縣選舉委員會,,6453023d-50a0-4d97-bca6-4d130a8c0008,"2024-01 > 立法委員 > 嘉義縣 > 第02選區[區域]"
2023/11/21,"屏東縣 > 第01選區",鍾佳濱,男,民主進步黨,屏東縣選舉委員會,,64530499-1418-4f76-b7fa-4b890a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第01選區[區域]"
2023/11/21,"屏東縣 > 第01選區",黃明賢,男,中國國民黨,屏東縣選舉委員會,,64530499-1418-4f76-b7fa-4b890a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第01選區[區域]"
2023/11/21,"屏東縣 > 第01選區",李孟翰,男,中華統一促進黨,屏東縣選舉委員會,,64530499-1418-4f76-b7fa-4b890a8c0008,"2024-01 > 立法委員 > 屏東縣 > 第01選區[區域]"
2023/11/21,宜蘭縣,黃琤婷,女,中國國民黨,宜蘭縣選舉委員會,,64530471-8e1c-49c4-955a-4a370a8c0008,"2024-01 > 立法委員 > 宜蘭縣 > 第01選區[區域]"
2023/11/21,宜蘭縣,陳琬惠,女,台灣民眾黨,宜蘭縣選舉委員會,,64530471-8e1c-49c4-955a-4a370a8c0008,"2024-01 > 立法委員 > 宜蘭縣 > 第01選區[區域]"
