登記日期,登記之政黨,名單次序,候選人姓名,性別,候選人種類,受理登記機關,備註
2023/11/20,台灣基進,1,史惟筑,女,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,2,陳奕齊,男,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,3,黃楓茹,女,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,4,陳君愷,男,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,5,楊佩樺,女,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,6,黃馨瑩,女,全國不分區,中央選舉委員會,
2023/11/20,台灣基進,7,徐煊博,男,全國不分區,中央選舉委員會,
2023/11/21,時代力量,1,林依瑩,女,全國不分區,中央選舉委員會,
2023/11/21,時代力量,2,王寶萱,女,全國不分區,中央選舉委員會,
2023/11/21,時代力量,3,宋國鼎,男,全國不分區,中央選舉委員會,
2023/11/21,時代力量,4,江盛,男,全國不分區,中央選舉委員會,
2023/11/21,時代力量,5,陳泰源,男,全國不分區,中央選舉委員會,
2023/11/21,時代力量,6,陳昱安,男,全國不分區,中央選舉委員會,
2023/11/21,時代力量,7,余佳蒨,女,全國不分區,中央選舉委員會,
2023/11/21,時代力量,8,鄭侑青,女,全國不分區,中央選舉委員會,
2023/11/23,新黨,1,王建煊,男,全國不分區,中央選舉委員會,
2023/11/23,新黨,2,仉桂美,女,全國不分區,中央選舉委員會,
2023/11/23,新黨,3,吳成典,男,全國不分區,中央選舉委員會,
2023/11/23,新黨,4,賀樺,女,全國不分區,中央選舉委員會,
2023/11/23,新黨,5,林易陞,男,全國不分區,中央選舉委員會,
2023/11/23,新黨,6,陳麗玲,女,全國不分區,中央選舉委員會,
2023/11/23,新黨,7,戴德滿,男,全國不分區,中央選舉委員會,
2023/11/23,新黨,8,王子芩,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,1,李桐豪,男,全國不分區,中央選舉委員會,
2023/11/23,親民黨,2,陳怡潔,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,3,曲兆祥,男,全國不分區,中央選舉委員會,
2023/11/23,親民黨,4,何偉真,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,5,簡泰河,男,全國不分區,中央選舉委員會,
2023/11/23,親民黨,6,藍志玟,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,7,吳建德,男,全國不分區,中央選舉委員會,
2023/11/23,親民黨,8,黎淑慧,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,9,孫信君,女,全國不分區,中央選舉委員會,
2023/11/23,親民黨,10,黎建南,男,全國不分區,中央選舉委員會,
2023/11/23,中華統一促進黨,1,丁炳仁,男,全國不分區,中央選舉委員會,
2023/11/23,中華統一促進黨,2,黃妙如,女,全國不分區,中央選舉委員會,
2023/11/23,中華統一促進黨,3,肖云霞,女,全國不分區,中央選舉委員會,
2023/11/23,中華統一促進黨,4,張安樂,男,全國不分區,中央選舉委員會,
2023/11/23,臺灣雙語無法黨,1,陳亭諭,女,全國不分區,中央選舉委員會,
2023/11/23,臺灣雙語無法黨,2,蕭文乾,男,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,1,韓國瑜,男,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,2,柯志恩,女,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,3,葛如鈞,男,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,4,翁曉玲,女,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,5,陳菁徽,女,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,6,吳宗憲,男,全國不分區,中央選舉委員會,
2023/11/23,中國國民黨,7,林倩綺,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,1,林月琴,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,2,沈伯洋,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,3,張雅琳,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,4,洪申翰,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,5,羅美玲,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,6,游錫堃,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,7,范雲,女,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,8,柯建銘,男,全國不分區,中央選舉委員會,
2023/11/24,民主進步黨,9,沈發惠,男,全國不分區,中央選舉委員會,
