登記日期,選舉區,姓名,性別,推薦之政黨,受理登記機關,備註
2023/11/21,臺中市,黃仁,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺北市,陳政宗,男,無,臺北市選舉委員會,
2023/11/21,臺北市,陳瑩,女,民主進步黨,臺北市選舉委員會,
2023/11/23,新北市,忠仁．達祿斯,男,無,新北市選舉委員會,
2023/11/23,花蓮縣,洪曹純明,男,中華統一促進黨,花蓮縣選舉委員會,
2023/11/23,臺東縣,高美珠,女,無,臺東縣選舉委員會,
2023/11/23,新北市,吳建智咖啡哥,男,無,新北市選舉委員會,
2023/11/23,臺北市,陳國榮,男,台灣維新,臺北市選舉委員會,
2023/11/24,臺北市,米甘幹．理佛克,男,新黨,臺北市選舉委員會,
2023/11/24,花蓮縣,鄭天財 Sra‧Kacaw,男,中國國民黨,花蓮縣選舉委員會,
