登記日期,登記之選舉區,姓名,性別,推薦之政黨,受理登記機關,備註
2023/11/20,臺北市第3選舉區,陳源發,男,無,臺北市選舉委員會,
2023/11/20,臺北市第5選舉區,于美人,女,無,臺北市選舉委員會,
2023/11/20,臺北市第5選舉區,吳沛憶,女,民主進步黨,臺北市選舉委員會,
2023/11/20,臺北市第5選舉區,林志成,男,無,臺北市選舉委員會,
2023/11/20,臺北市第6選舉區,羅智強,男,中國國民黨,臺北市選舉委員會,
2023/11/20,臺北市第7選舉區,徐巧芯,女,中國國民黨,臺北市選舉委員會,
2023/11/20,新北市第2選舉區,李有宜,女,台灣民眾黨,新北市選舉委員會,
2023/11/20,新北市第3選舉區,李坤城,男,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第4選舉區,吳秉叡,男,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第5選舉區,蘇巧慧,女,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第6選舉區,張宏陸,男,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第6選舉區,黃淑珍,女,司法改革黨,新北市選舉委員會,
2023/11/20,新北市第8選舉區,張智倫,男,中國國民黨,新北市選舉委員會,
2023/11/20,新北市第8選舉區,吳崢,男,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第9選舉區,林德福,男,中國國民黨,新北市選舉委員會,
2023/11/20,新北市第10選舉區,袁興,男,無,新北市選舉委員會,
2023/11/20,新北市第11選舉區,曾柏瑜,女,民主進步黨,新北市選舉委員會,
2023/11/20,新北市第11選舉區,陳聖,男,中華婦女黨,新北市選舉委員會,
2023/11/20,桃園市第3選舉區,游智彬,男,新黨,桃園市選舉委員會,
2023/11/20,桃園市第3選舉區,彭俊豪,男,民主進步黨,桃園市選舉委員會,
2023/11/20,桃園市第5選舉區,劉仁照,男,民主進步黨,桃園市選舉委員會,
2023/11/20,桃園市第6選舉區,葉堂宇,男,無,桃園市選舉委員會,
2023/11/20,臺中市第5選舉區,莊競程,男,民主進步黨,臺中市選舉委員會,
2023/11/20,臺中市第5選舉區,苗豐隆,男,無,臺中市選舉委員會,
2023/11/20,臺南市第1選舉區,侯陸太,男,無,臺南市選舉委員會,
2023/11/20,臺南市第1選舉區,魏耀乾,男,無,臺南市選舉委員會,
2023/11/20,臺南市第1選舉區,賴惠員,女,民主進步黨,臺南市選舉委員會,
2023/11/20,臺南市第3選舉區,陳亭妃,女,民主進步黨,臺南市選舉委員會,
2023/11/20,臺南市第6選舉區,陳永和,男,無,臺南市選舉委員會,
2023/11/20,高雄市第1選舉區,邱議瑩,女,民主進步黨,高雄市選舉委員會,
2023/11/20,高雄市第2選舉區,邱志偉,男,民主進步黨,高雄市選舉委員會,
2023/11/20,高雄市第4選舉區,林岱樺,女,民主進步黨,高雄市選舉委員會,
2023/11/20,高雄市第6選舉區,黃捷,女,民主進步黨,高雄市選舉委員會,
2023/11/20,高雄市第8選舉區,湛秀英,女,勞動黨,高雄市選舉委員會,
2023/11/20,高雄市第8選舉區,賴瑞隆,男,民主進步黨,高雄市選舉委員會,
2023/11/20,新竹縣第1選舉區,詹紀緹,女,民主進步黨,新竹縣選舉委員會,
2023/11/20,新竹縣第2選舉區,曾聖凱,男,民主進步黨,新竹縣選舉委員會,
2023/11/20,新竹縣第2選舉區,林思銘,男,中國國民黨,新竹縣選舉委員會,
2023/11/20,苗栗縣第1選舉區,陳超明,男,無,苗栗縣選舉委員會,
2023/11/20,彰化縣第3選舉區,洪建興,男,無,彰化縣選舉委員會,
2023/11/20,彰化縣第4選舉區,陳素月,女,民主進步黨,彰化縣選舉委員會,
2023/11/20,南投縣第1選舉區,蔡銘軒,男,民主進步黨,南投縣選舉委員會,
2023/11/20,南投縣第2選舉區,游顥,男,中國國民黨,南投縣選舉委員會,
2023/11/20,雲林縣第1選舉區,李昭儀,女,台灣革命黨,雲林縣選舉委員會,
2023/11/20,雲林縣第1選舉區,丁學忠,男,中國國民黨,雲林縣選舉委員會,
2023/11/20,雲林縣第1選舉區,蘇治芬,女,民主進步黨,雲林縣選舉委員會,
2023/11/20,雲林縣第2選舉區,邱良閱,男,中國國民黨,雲林縣選舉委員會,
2023/11/20,嘉義縣第1選舉區,蔡易餘,男,民主進步黨,嘉義縣選舉委員會,
2023/11/20,嘉義縣第2選舉區,陳冠廷,男,民主進步黨,嘉義縣選舉委員會,
2023/11/20,屏東縣第1選舉區,蔣月惠,女,無,屏東縣選舉委員會,
2023/11/20,屏東縣第2選舉區,蘇孟淳,男,無,屏東縣選舉委員會,
2023/11/20,屏東縣第2選舉區,吳媚宮,女,中華聯合黨,屏東縣選舉委員會,
2023/11/20,宜蘭縣選舉區,陳俊宇,男,民主進步黨,宜蘭縣選舉委員會,
2023/11/20,花蓮縣選舉區,許願神,男,無,花蓮縣選舉委員會,
2023/11/20,臺東縣選舉區,賴坤成,男,民主進步黨,臺東縣選舉委員會,
2023/11/20,臺東縣選舉區,黃婉茹,女,小民參政歐巴桑聯盟,臺東縣選舉委員會,
2023/11/20,澎湖縣選舉區,陳慧娟,女,無,澎湖縣選舉委員會,
2023/11/20,澎湖縣選舉區,吳政杰,男,中國國民黨,澎湖縣選舉委員會,
2023/11/20,金門縣選舉區,陳玉珍,女,中國國民黨,金門縣選舉委員會,
2023/11/20,連江縣選舉區,李問,男,民主進步黨,連江縣選舉委員會,
2023/11/20,基隆市選舉區,鄭文婷,女,民主進步黨,基隆市選舉委員會,
2023/11/20,基隆市選舉區,黃傑陽,男,無,基隆市選舉委員會,
2023/11/20,新竹市選舉區,柯美蘭,女,無,新竹市選舉委員會,
2023/11/20,新竹市選舉區,鄭正鈐,男,中國國民黨,新竹市選舉委員會,
2023/11/20,新竹市選舉區,林志潔,女,民主進步黨,新竹市選舉委員會,
2023/11/20,嘉義市選舉區,張秀華,女,中國國民黨,嘉義市選舉委員會,
2023/11/20,嘉義市選舉區,陳玥妗,女,小民參政歐巴桑聯盟,嘉義市選舉委員會,
2023/11/21,臺北市第1選舉區,陳執中,男,臺灣雙語無法黨,臺北市選舉委員會,
