登記日期,登記之選舉區,姓名,性別,推薦之政黨,受理登記機關,備註
2023/11/21,臺北市第1選舉區,許盛鋒,男,無,臺北市選舉委員會,
2023/11/21,臺北市第3選舉區,陳一郎,男,臺灣雙語無法黨,臺北市選舉委員會,
2023/11/21,臺北市第4選舉區,林秋彤,女,台灣整復師聯盟工黨,臺北市選舉委員會,
2023/11/21,臺北市第6選舉區,崔建章,男,臺灣雙語無法黨,臺北市選舉委員會,
2023/11/21,臺北市第7選舉區,李承龍,男,中華愛國同心黨,臺北市選舉委員會,
2023/11/21,臺北市第8選舉區,王閔生,男,民主進步黨,臺北市選舉委員會,
2023/11/21,臺北市第8選舉區,夏萬浪,男,無,臺北市選舉委員會,
2023/11/21,臺北市第8選舉區,胡之壯,男,興中同盟會,臺北市選舉委員會,
2023/11/21,臺北市第8選舉區,賴宣任,女,小民參政歐巴桑聯盟,臺北市選舉委員會,
2023/11/21,新北市第1選舉區,洪孟楷,男,中國國民黨,新北市選舉委員會,
2023/11/21,新北市第1選舉區,翁藤原,男,中華統一促進黨,新北市選舉委員會,
2023/11/21,新北市第3選舉區,陳東雲,男,無,新北市選舉委員會,
2023/11/21,新北市第5選舉區,洪佳君,女,中國國民黨,新北市選舉委員會,
2023/11/21,新北市第8選舉區,邱臣遠,男,台灣民眾黨,新北市選舉委員會,
2023/11/21,新北市第9選舉區,莊銘淵,男,民主進步黨,新北市選舉委員會,
2023/11/21,新北市第11選舉區,羅明才,男,中國國民黨,新北市選舉委員會,
2023/11/21,新北市第12選舉區,李佳蒨,女,臺灣雙語無法黨,新北市選舉委員會,
2023/11/21,桃園市第4選舉區,萬美玲,女,中國國民黨,桃園市選舉委員會,
2023/11/21,桃園市第6選舉區,趙正宇,男,無,桃園市選舉委員會,
2023/11/21,臺中市第1選舉區,蔡壁如,女,台灣民眾黨,臺中市選舉委員會,
2023/11/21,臺中市第1選舉區,蔡其昌,男,民主進步黨,臺中市選舉委員會,
2023/11/21,臺中市第2選舉區,顏寬恒,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第2選舉區,林靜儀,女,民主進步黨,臺中市選舉委員會,
2023/11/21,臺中市第3選舉區,謝子涵,女,民主進步黨,臺中市選舉委員會,
2023/11/21,臺中市第3選舉區,楊瓊瓔,女,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第4選舉區,廖偉翔,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第4選舉區,張廖萬堅,男,民主進步黨,臺中市選舉委員會,
2023/11/21,臺中市第5選舉區,黃健豪,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第6選舉區,羅廷瑋,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第6選舉區,賀姿華,女,無,臺中市選舉委員會,
2023/11/21,臺中市第6選舉區,紀文清,男,無,臺中市選舉委員會,
2023/11/21,臺中市第7選舉區,林家興,男,中國國民黨,臺中市選舉委員會,
2023/11/21,臺中市第7選舉區,何欣純,女,民主進步黨,臺中市選舉委員會,
2023/11/21,臺中市第8選舉區,謝志忠,男,民主進步黨,臺中市選舉委員會,
2023/11/21,臺南市第1選舉區,周宏昌,男,中國國民黨,臺南市選舉委員會,
2023/11/21,臺南市第3選舉區,姚正玉,女,中國國民黨,臺南市選舉委員會,
2023/11/21,臺南市第4選舉區,林宜瑾,女,民主進步黨,臺南市選舉委員會,
2023/11/21,臺南市第4選舉區,劉清田,男,司法改革黨,臺南市選舉委員會,
2023/11/21,臺南市第5選舉區,林俊憲,男,民主進步黨,臺南市選舉委員會,
2023/11/21,臺南市第5選舉區,王家貞,女,中國國民黨,臺南市選舉委員會,
2023/11/21,臺南市第6選舉區,王定宇,男,民主進步黨,臺南市選舉委員會,
2023/11/21,臺南市第6選舉區,陳以信,男,中國國民黨,臺南市選舉委員會,
2023/11/21,高雄市第2選舉區,曹桓榮,男,中國國民黨,高雄市選舉委員會,
2023/11/21,高雄市第3選舉區,張正達,男,無,高雄市選舉委員會,
2023/11/21,高雄市第4選舉區,陳若翠,女,中國國民黨,高雄市選舉委員會,
2023/11/21,高雄市第5選舉區,黃柏霖,男,中國國民黨,高雄市選舉委員會,
2023/11/21,高雄市第5選舉區,李昆澤,男,民主進步黨,高雄市選舉委員會,
2023/11/21,高雄市第7選舉區,王和平統一,男,司法改革黨,高雄市選舉委員會,
2023/11/21,高雄市第7選舉區,朱磊,男,無,高雄市選舉委員會,
2023/11/21,高雄市第8選舉區,李政憲,男,司法改革黨,高雄市選舉委員會,
2023/11/21,新竹縣第2選舉區,王婉諭,女,時代力量,新竹縣選舉委員會,
2023/11/21,苗栗縣第2選舉區,曾玟學,男,無,苗栗縣選舉委員會,
2023/11/21,苗栗縣第2選舉區,邱鎮軍,男,中國國民黨,苗栗縣選舉委員會,
2023/11/21,彰化縣第1選舉區,陳秀寳,女,民主進步黨,彰化縣選舉委員會,
2023/11/21,彰化縣第2選舉區,黃秀芳,女,民主進步黨,彰化縣選舉委員會,
2023/11/21,南投縣第1選舉區,許文忠,男,勞動黨,南投縣選舉委員會,
2023/11/21,南投縣第2選舉區,陳癸佑,男,無,南投縣選舉委員會,
2023/11/21,雲林縣第1選舉區,吳炳輝,男,無,雲林縣選舉委員會,
2023/11/21,雲林縣第2選舉區,劉建國,男,民主進步黨,雲林縣選舉委員會,
2023/11/21,嘉義縣第2選舉區,林國慶,男,無,嘉義縣選舉委員會,
2023/11/21,屏東縣第1選舉區,鍾佳濱,男,民主進步黨,屏東縣選舉委員會,
2023/11/21,屏東縣第1選舉區,黃明賢,男,中國國民黨,屏東縣選舉委員會,
2023/11/21,屏東縣第1選舉區,李孟翰,男,中華統一促進黨,屏東縣選舉委員會,
2023/11/21,宜蘭縣選舉區,黃琤婷,女,中國國民黨,宜蘭縣選舉委員會,
2023/11/21,宜蘭縣選舉區,陳琬惠,女,台灣民眾黨,宜蘭縣選舉委員會,
2023/11/21,花蓮縣選舉區,張美慧,女,民主進步黨,花蓮縣選舉委員會,
2023/11/21,臺東縣選舉區,黃建賓,男,中國國民黨,臺東縣選舉委員會,
2023/11/21,臺東縣選舉區,許瑞貴,男,無,臺東縣選舉委員會,
2023/11/21,連江縣選舉區,陳雪生,男,中國國民黨,連江縣選舉委員會,
2023/11/21,新竹市選舉區,邱顯智,男,時代力量,新竹市選舉委員會,
2023/11/21,嘉義市選舉區,簡明廉,男,無,嘉義市選舉委員會,
2023/11/22,臺北市第1選舉區,吳思瑤,女,民主進步黨,臺北市選舉委員會,
2023/11/22,臺北市第2選舉區,游淑慧,女,中國國民黨,臺北市選舉委員會,
2023/11/22,臺北市第2選舉區,王世堅,男,民主進步黨,臺北市選舉委員會,
2023/11/22,臺北市第2選舉區,郭啟源,男,中華統一促進黨,臺北市選舉委員會,
2023/11/22,臺北市第3選舉區,王鴻薇,女,中國國民黨,臺北市選舉委員會,
2023/11/22,臺北市第3選舉區,謝佩芬,女,民主進步黨,臺北市選舉委員會,
2023/11/22,臺北市第4選舉區,吳欣岱,女,台灣基進,臺北市選舉委員會,
2023/11/22,臺北市第4選舉區,高嘉瑜,女,民主進步黨,臺北市選舉委員會,
2023/11/22,臺北市第4選舉區,李彥秀,女,中國國民黨,臺北市選舉委員會,
2023/11/22,臺北市第5選舉區,張華特,男,台灣麻將最大黨,臺北市選舉委員會,
2023/11/22,臺北市第5選舉區,李慧曦,女,司法改革黨,臺北市選舉委員會,
2023/11/22,臺北市第5選舉區,蘇諍,男,經濟黨,臺北市選舉委員會,112年11月23日補送（經濟
2023/11/22,臺北市第6選舉區,苗博雅,女,社會民主黨,臺北市選舉委員會,
2023/11/22,臺北市第7選舉區,許淑華,女,民主進步黨,臺北市選舉委員會,
2023/11/22,臺北市第8選舉區,張其祿,男,台灣民眾黨,臺北市選舉委員會,
2023/11/22,新北市第1選舉區,何博文,男,民主進步黨,新北市選舉委員會,
2023/11/22,新北市第2選舉區,林淑芬,女,民主進步黨,新北市選舉委員會,
2023/11/22,新北市第4選舉區,蔣欣璋,男,中國國民黨,新北市選舉委員會,
2023/11/22,新北市第7選舉區,羅致政,男,民主進步黨,新北市選舉委員會,
2023/11/22,新北市第10選舉區,吳琪銘,男,民主進步黨,新北市選舉委員會,
2023/11/22,新北市第12選舉區,賴品妤,女,民主進步黨,新北市選舉委員會,
2023/11/22,桃園市第1選舉區,鄭運鵬,男,民主進步黨,桃園市選舉委員會,
2023/11/22,桃園市第1選舉區,牛煦庭,男,中國國民黨,桃園市選舉委員會,
2023/11/22,桃園市第2選舉區,黃世杰,男,民主進步黨,桃園市選舉委員會,
2023/11/22,桃園市第3選舉區,徐鶯慈,女,小民參政歐巴桑聯盟,桃園市選舉委員會,
2023/11/22,桃園市第3選舉區,魯明哲,男,中國國民黨,桃園市選舉委員會,
2023/11/22,桃園市第4選舉區,范綱祥,男,民主進步黨,桃園市選舉委員會,
2023/11/22,桃園市第4選舉區,甘乃迪,男,台灣國民黨,桃園市選舉委員會,
2023/11/22,桃園市第5選舉區,賴香伶,女,台灣民眾黨,桃園市選舉委員會,
2023/11/22,桃園市第5選舉區,呂玉玲,女,中國國民黨,桃園市選舉委員會,
2023/11/22,臺中市第1選舉區,賴信全,男,無,臺中市選舉委員會,
2023/11/22,臺中市第3選舉區,張烱春,男,司法改革黨,臺中市選舉委員會,
2023/11/22,臺中市第4選舉區,李海碩,男,臺灣雙語無法黨,臺中市選舉委員會,
2023/11/22,臺中市第4選舉區,林中翊,男,臺灣雙語無法黨,臺中市選舉委員會,
2023/11/22,臺中市第5選舉區,謝旻汎,男,臺灣雙語無法黨,臺中市選舉委員會,
2023/11/22,臺中市第5選舉區,彭振芳,男,司法改革黨,臺中市選舉委員會,
2023/11/22,臺中市第7選舉區,林振東,男,司法改革黨,臺中市選舉委員會,
2023/11/22,臺南市第4選舉區,李全教,男,無,臺南市選舉委員會,
2023/11/22,臺南市第5選舉區,蕭燐洪,男,臺灣雙語無法黨,臺南市選舉委員會,
2023/11/22,高雄市第6選舉區,郭倍宏,男,喜樂島聯盟,高雄市選舉委員會,
2023/11/22,高雄市第7選舉區,鍾易仲,男,中國國民黨,高雄市選舉委員會,
2023/11/22,高雄市第7選舉區,許智傑,男,民主進步黨,高雄市選舉委員會,
2023/11/22,新竹縣第1選舉區,徐欣瑩,女,中國國民黨,新竹縣選舉委員會,
2023/11/22,新竹縣第1選舉區,余筱菁,女,台灣綠黨,新竹縣選舉委員會,
2023/11/22,新竹縣第1選舉區,劉台穠,女,小民參政歐巴桑聯盟,新竹縣選舉委員會,
2023/11/22,新竹縣第2選舉區,黃秀龍,男,無,新竹縣選舉委員會,
2023/11/22,彰化縣第1選舉區,蘇群傑,男,無,彰化縣選舉委員會,
2023/11/22,彰化縣第3選舉區,吳音寧,女,民主進步黨,彰化縣選舉委員會,
2023/11/22,彰化縣第4選舉區,鄭錫懋,男,臺灣雙語無法黨,彰化縣選舉委員會,
2023/11/22,雲林縣第1選舉區,郭炳宏,男,中華統一促進黨,雲林縣選舉委員會,
2023/11/22,屏東縣第1選舉區,張庭源,男,台灣維新,屏東縣選舉委員會,
2023/11/22,屏東縣第2選舉區,徐富癸,男,民主進步黨,屏東縣選舉委員會,
2023/11/22,臺東縣選舉區,劉櫂豪,男,無,臺東縣選舉委員會,
2023/11/22,連江縣選舉區,曹爾凱,男,台灣民眾黨,連江縣選舉委員會,
2023/11/22,基隆市選舉區,邱紹祐,男,家庭基本收入,基隆市選舉委員會,
2023/11/22,嘉義市選舉區,林智勲,男,臺灣雙語無法黨,嘉義市選舉委員會,
2023/11/23,臺北市第1選舉區,張斯綱,男,中國國民黨,臺北市選舉委員會,
2023/11/23,臺北市第1選舉區,張臺勝,男,人民最大黨,臺北市選舉委員會,
2023/11/23,臺北市第1選舉區,胡金城,男,人民最大黨,臺北市選舉委員會,
2023/11/23,臺北市第2選舉區,藍信祺,男,無,臺北市選舉委員會,
2023/11/23,臺北市第2選舉區,何梅娟,女,人民最大黨,臺北市選舉委員會,
2023/11/23,臺北市第3選舉區,余新造,男,人民最大黨,臺北市選舉委員會,
2023/11/23,臺北市第5選舉區,鍾小平,男,中國國民黨,臺北市選舉委員會,
2023/11/23,臺北市第5選舉區,許敬民,男,合一行動聯盟,臺北市選舉委員會,
2023/11/23,臺北市第5選舉區,陳燕玉,女,無,臺北市選舉委員會,
2023/11/23,臺北市第8選舉區,劉佩玲,女,台灣維新,臺北市選舉委員會,
2023/11/23,臺北市第8選舉區,賴士葆,男,中國國民黨,臺北市選舉委員會,
2023/11/23,新北市第1選舉區,徐百弟,男,台灣維新,新北市選舉委員會,
2023/11/23,新北市第2選舉區,何淯笙,男,中華統一促進黨,新北市選舉委員會,
2023/11/23,新北市第3選舉區,蔡明堂,男,中國國民黨,新北市選舉委員會,
2023/11/23,新北市第4選舉區,蘇輝湟,男,無,新北市選舉委員會,
2023/11/23,新北市第10選舉區,林金結,男,中國國民黨,新北市選舉委員會,
2023/11/23,新北市第11選舉區,鄭添泉,男,無,新北市選舉委員會,
2023/11/23,新北市第12選舉區,黃瑞傳,男,無,新北市選舉委員會,
2023/11/23,新北市第12選舉區,廖先翔,男,中國國民黨,新北市選舉委員會,
2023/11/23,新北市第12選舉區,陳長志,男,台灣維新,新北市選舉委員會,
2023/11/23,桃園市第1選舉區,馬治薇,女,無,桃園市選舉委員會,
2023/11/23,桃園市第2選舉區,涂權吉,男,中國國民黨,桃園市選舉委員會,
2023/11/23,桃園市第2選舉區,陳志豪,男,中華統一促進黨,桃園市選舉委員會,
2023/11/23,桃園市第5選舉區,易乃文,男,司法改革黨,桃園市選舉委員會,
2023/11/23,臺中市第1選舉區,劉燈鐘,男,無,臺中市選舉委員會,
2023/11/23,臺中市第4選舉區,陳志彬,男,無,臺中市選舉委員會,
2023/11/23,臺中市第5選舉區,蔡善雯,女,小民參政歐巴桑聯盟,臺中市選舉委員會,
2023/11/23,臺中市第5選舉區,林澤培,女,中華統一促進黨,臺中市選舉委員會,
2023/11/23,臺中市第6選舉區,江肇國,男,民主進步黨,臺中市選舉委員會,
2023/11/23,臺中市第6選舉區,黃千庭,女,中華統一促進黨,臺中市選舉委員會,
2023/11/23,臺中市第8選舉區,江啟臣,男,中國國民黨,臺中市選舉委員會,
2023/11/23,臺南市第1選舉區,林芳竹,女,中華統一促進黨,臺南市選舉委員會,
2023/11/23,臺南市第2選舉區,陳昆和,男,無,臺南市選舉委員會,
2023/11/23,臺南市第2選舉區,郭國文,男,民主進步黨,臺南市選舉委員會,
2023/11/23,臺南市第2選舉區,詹秋嫻,女,人民最大黨,臺南市選舉委員會,
2023/11/23,高雄市第3選舉區,李柏毅,男,民主進步黨,高雄市選舉委員會,
2023/11/23,高雄市第3選舉區,李眉蓁,女,中國國民黨,高雄市選舉委員會,
2023/11/23,高雄市第3選舉區,郭璽,男,台灣麻將最大黨,高雄市選舉委員會,
2023/11/23,高雄市第6選舉區,陳美雅,女,中國國民黨,高雄市選舉委員會,
2023/11/23,高雄市第7選舉區,洪啟修,男,無,高雄市選舉委員會,
2023/11/23,高雄市第8選舉區,李明璇,女,中國國民黨,高雄市選舉委員會,
2023/11/23,苗栗縣第1選舉區,康世明,男,民主進步黨,苗栗縣選舉委員會,
2023/11/23,彰化縣第3選舉區,桂麗娜,女,中華統一促進黨,彰化縣選舉委員會,
2023/11/23,彰化縣第4選舉區,蔡念諶,男,中華文化共和黨,彰化縣選舉委員會,
2023/11/23,南投縣第1選舉區,林金潭,男,無,南投縣選舉委員會,
2023/11/23,南投縣第1選舉區,馬文君,女,中國國民黨,南投縣選舉委員會,
2023/11/23,南投縣第1選舉區,李圓恩,女,小民參政歐巴桑聯盟,南投縣選舉委員會,
2023/11/23,南投縣第2選舉區,蔡培慧,女,民主進步黨,南投縣選舉委員會,
2023/11/23,嘉義縣第1選舉區,詹琬蓁,女,中國國民黨,嘉義縣選舉委員會,
2023/11/23,嘉義縣第2選舉區,黃一哲,男,台灣維新,嘉義縣選舉委員會,
2023/11/23,屏東縣第1選舉區,鄭清原,男,無,屏東縣選舉委員會,
2023/11/23,宜蘭縣選舉區,林錦坤,男,無,宜蘭縣選舉委員會,
2023/11/23,花蓮縣選舉區,傅崐萁,男,中國國民黨,花蓮縣選舉委員會,
2023/11/23,金門縣選舉區,尚文凱,女,台灣民眾黨,金門縣選舉委員會,
2023/11/23,基隆市選舉區,王醒之,男,無,基隆市選舉委員會,
2023/11/23,基隆市選舉區,謝海菁,女,小民參政歐巴桑聯盟,基隆市選舉委員會,
2023/11/24,臺北市第1選舉區,侯漢廷,男,無,臺北市選舉委員會,
2023/11/24,臺北市第1選舉區,賴宗育,男,人民民主黨,臺北市選舉委員會,
2023/11/24,臺北市第2選舉區,熊嘉玲,女,制度救世島,臺北市選舉委員會,
2023/11/24,臺北市第3選舉區,楊時睿,男,台灣維新,臺北市選舉委員會,
2023/11/24,臺北市第3選舉區,高士恩,男,制度救世島,臺北市選舉委員會,
2023/11/24,臺北市第4選舉區,黃啟彬,男,制度救世島,臺北市選舉委員會,
2023/11/24,臺北市第5選舉區,孫智麗,女,無,臺北市選舉委員會,
2023/11/24,臺北市第6選舉區,朱翊銘,男,台灣維新,臺北市選舉委員會,
2023/11/24,臺北市第6選舉區,張雪卿,女,制度救世島,臺北市選舉委員會,
2023/11/24,臺北市第7選舉區,陳韋安,男,無,臺北市選舉委員會,
2023/11/24,臺北市第7選舉區,羅丹,男,台灣維新,臺北市選舉委員會,
2023/11/24,臺北市第8選舉區,張維學,男,無,臺北市選舉委員會,
2023/11/24,新北市第1選舉區,游清池,男,制度救世島,新北市選舉委員會,
2023/11/24,新北市第3選舉區,蘇卿彥,男,無,新北市選舉委員會,
2023/11/24,新北市第4選舉區,邱吉均,男,制度救世島,新北市選舉委員會,
2023/11/24,新北市第4選舉區,洪懿馥,女,無,新北市選舉委員會,
2023/11/24,新北市第6選舉區,林國春,男,中國國民黨,新北市選舉委員會,
2023/11/24,新北市第7選舉區,葉元之,男,中國國民黨,新北市選舉委員會,
2023/11/24,新北市第7選舉區,劉書婷,女,小民參政歐巴桑聯盟,新北市選舉委員會,
2023/11/24,新北市第9選舉區,陳愷寧,女,台灣維新,新北市選舉委員會,
2023/11/24,新北市第10選舉區,孟藹倫,女,人民最大黨,新北市選舉委員會,
2023/11/24,新北市第11選舉區,張家榛,女,人民最大黨,新北市選舉委員會,
2023/11/24,新北市第11選舉區,魏趨安,男,制度救世島,新北市選舉委員會,
2023/11/24,新北市第12選舉區,楊木火,男,無,新北市選舉委員會,
2023/11/24,桃園市第2選舉區,王思玟,男,無,桃園市選舉委員會,
2023/11/24,桃園市第3選舉區,戴浙,男,制度救世島,桃園市選舉委員會,
2023/11/24,桃園市第4選舉區,黃明莉,女,無,桃園市選舉委員會,
2023/11/24,桃園市第6選舉區,邱若華,女,中國國民黨,桃園市選舉委員會,
2023/11/24,桃園市第6選舉區,劉睿宸,男,復康聯盟黨,桃園市選舉委員會,
2023/11/24,桃園市第6選舉區,翁紹庭,女,人民最大黨,桃園市選舉委員會,
2023/11/24,桃園市第6選舉區,李慕妍,女,台灣民眾黨,桃園市選舉委員會,
2023/11/24,臺中市第2選舉區,紀銘修,男,無,臺中市選舉委員會,
2023/11/24,臺中市第2選舉區,洪麗華,女,司法正義黨,臺中市選舉委員會,
2023/11/24,臺中市第5選舉區,陳維新,女,無,臺中市選舉委員會,
2023/11/24,臺南市第1選舉區,蔡承攸,男,復康聯盟黨,臺南市選舉委員會,
2023/11/24,高雄市第1選舉區,曾尹儷,女,台灣民眾黨,高雄市選舉委員會,
2023/11/24,高雄市第1選舉區,劉承智,男,人民最大黨,高雄市選舉委員會,
2023/11/24,高雄市第1選舉區,林義迪,男,無,高雄市選舉委員會,
2023/11/24,高雄市第3選舉區,陳銓霖,男,無,高雄市選舉委員會,
2023/11/24,高雄市第5選舉區,楊椒喬,男,無,高雄市選舉委員會,
2023/11/24,高雄市第5選舉區,張芳愉,女,小民參政歐巴桑聯盟,高雄市選舉委員會,
2023/11/24,新竹縣第1選舉區,劉復嵐,男,台灣維新,新竹縣選舉委員會,
2023/11/24,彰化縣第1選舉區,阮厚爵,男,中國國民黨,彰化縣選舉委員會,
2023/11/24,彰化縣第2選舉區,楊曜聰,男,中國國民黨,彰化縣選舉委員會,
2023/11/24,彰化縣第3選舉區,謝衣鳯,女,中國國民黨,彰化縣選舉委員會,
2023/11/24,彰化縣第4選舉區,鄭俊雄,男,中國國民黨,彰化縣選舉委員會,
2023/11/24,雲林縣第1選舉區,陳俊龍,男,無,雲林縣選舉委員會,
2023/11/24,嘉義縣第2選舉區,廖昱婧,女,無,嘉義縣選舉委員會,
2023/11/24,嘉義縣第2選舉區,簡銘傑,男,制度救世島,嘉義縣選舉委員會,
2023/11/24,屏東縣第1選舉區,曾鈺庭,男,無,屏東縣選舉委員會,
2023/11/24,屏東縣第2選舉區,何秋葺,女,人民最大黨,屏東縣選舉委員會,
2023/11/24,宜蘭縣選舉區,邱介勲,男,制度救世島,宜蘭縣選舉委員會,
2023/11/24,宜蘭縣選舉區,林意評,男,台灣基進,宜蘭縣選舉委員會,
2023/11/24,花蓮縣選舉區,周玉梅,女,制度救世島,花蓮縣選舉委員會,
2023/11/24,臺東縣選舉區,陳長宏,男,無,臺東縣選舉委員會,
2023/11/24,澎湖縣選舉區,楊曜,男,民主進步黨,澎湖縣選舉委員會,
2023/11/24,金門縣選舉區,洪和成,男,無,金門縣選舉委員會,
2023/11/24,金門縣選舉區,歐陽儀雄,男,無,金門縣選舉委員會,
2023/11/24,基隆市選舉區,林沛祥,男,中國國民黨,基隆市選舉委員會,
2023/11/24,新竹市選舉區,趙福龍,男,制度救世島,新竹市選舉委員會,
